Date;BRI_O;BRI_H;BRI_L;BRI_C;BRI_AdjC;BRI_Vol
Feb 20, 2025;3,970.00;4,020.00;3,910.00;3,910.00;3,695.57;312,753,300
Feb 19, 2025;4,160.00;4,180.00;4,010.00;4,020.00;3,799.53;348,358,600
Feb 18, 2025;4,030.00;4,180.00;4,030.00;4,150.00;3,922.41;374,350,700
Feb 17, 2025;3,870.00;4,030.00;3,870.00;4,030.00;3,808.99;265,737,100
Feb 14, 2025;4,000.00;4,010.00;3,850.00;3,860.00;3,648.31;524,909,600
Feb 13, 2025;4,000.00;4,030.00;3,960.00;3,990.00;3,771.18;341,640,600
Feb 12, 2025;3,960.00;4,060.00;3,950.00;4,030.00;3,808.99;362,571,900
Feb 11, 2025;3,970.00;4,040.00;3,900.00;4,010.00;3,790.08;276,382,800
Feb 10, 2025;4,000.00;4,050.00;3,950.00;3,970.00;3,752.28;201,999,400
Feb 7, 2025;3,970.00;4,030.00;3,940.00;4,030.00;3,808.99;259,636,200
Feb 6, 2025;4,120.00;4,160.00;3,940.00;3,970.00;3,752.28;378,545,500
Feb 5, 2025;4,250.00;4,250.00;4,140.00;4,140.00;3,912.95;209,834,400
Feb 4, 2025;4,260.00;4,300.00;4,200.00;4,260.00;4,026.37;231,917,500
Feb 3, 2025;4,200.00;4,270.00;4,150.00;4,250.00;4,016.92;220,285,800
Jan 31, 2025;4,170.00;4,280.00;4,150.00;4,220.00;3,988.57;192,622,700
Jan 30, 2025;4,130.00;4,170.00;4,090.00;4,120.00;3,894.05;220,222,400
Jan 24, 2025;4,350.00;4,350.00;4,190.00;4,190.00;3,960.21;276,421,900
Jan 23, 2025;4,260.00;4,340.00;4,260.00;4,300.00;4,064.18;216,018,100
Jan 22, 2025;4,310.00;4,320.00;4,230.00;4,260.00;4,026.37;193,218,900
Jan 21, 2025;4,270.00;4,380.00;4,250.00;4,260.00;4,026.37;345,223,800
Jan 20, 2025;4,130.00;4,220.00;4,130.00;4,220.00;3,988.57;167,348,600
Jan 17, 2025;4,150.00;4,190.00;4,080.00;4,090.00;3,865.70;268,758,600
Jan 16, 2025;4,210.00;4,240.00;4,130.00;4,160.00;3,931.86;349,387,500
Jan 15, 2025;3,840.00;4,090.00;3,840.00;4,090.00;3,865.70;407,813,500
Jan 14, 2025;3,820.00;3,920.00;3,800.00;3,800.00;3,591.60;293,621,700
Jan 13, 2025;3,990.00;3,990.00;3,850.00;3,850.00;3,638.86;413,408,100
Jan 10, 2025;4,030.00;4,060.00;4,010.00;4,010.00;3,790.08;132,774,300
Jan 9, 2025;4,070.00;4,100.00;4,030.00;4,030.00;3,808.99;99,300,400
Jan 8, 2025;4,030.00;4,100.00;4,030.00;4,080.00;3,856.24;133,655,700
Jan 7, 2025;4,080.00;4,090.00;4,030.00;4,030.00;3,808.99;171,997,400
Jan 6, 2025;4,180.00;4,180.00;4,100.00;4,100.00;3,875.15;153,048,700
Jan 3, 2025;4,220.00;4,240.00;4,150.00;4,150.00;3,922.41;134,632,300
Jan 2, 2025;4,100.00;4,220.00;4,090.00;4,210.00;3,979.11;181,361,700
Dec 30, 2024;4,080.00;4,120.00;4,070.00;4,080.00;3,856.24;153,934,700
Dec 27, 2024;4,100.00;4,120.00;4,080.00;4,100.00;3,875.15;143,104,400
Dec 24, 2024;4,220.00;4,250.00;4,170.00;4,200.00;3,842.07;199,536,100
Dec 23, 2024;4,130.00;4,210.00;4,110.00;4,210.00;3,851.21;167,689,800
Dec 20, 2024;4,070.00;4,120.00;4,050.00;4,060.00;3,714.00;252,689,600
Dec 19, 2024;4,090.00;4,110.00;4,050.00;4,090.00;3,741.44;381,986,300
Dec 18, 2024;4,170.00;4,210.00;4,130.00;4,150.00;3,796.33;205,055,500
Dec 17, 2024;4,250.00;4,290.00;4,150.00;4,150.00;3,796.33;327,919,000
Dec 16, 2024;4,150.00;4,280.00;4,150.00;4,250.00;3,887.81;325,441,900
Dec 13, 2024;4,230.00;4,280.00;4,170.00;4,170.00;3,814.62;287,838,100
Dec 12, 2024;4,340.00;4,360.00;4,260.00;4,260.00;3,896.95;226,698,900
Dec 11, 2024;4,340.00;4,430.00;4,340.00;4,380.00;4,006.73;203,980,300
Dec 10, 2024;4,360.00;4,380.00;4,290.00;4,360.00;3,988.43;196,160,900
Dec 9, 2024;4,310.00;4,390.00;4,300.00;4,390.00;4,015.87;158,897,200
Dec 6, 2024;4,250.00;4,310.00;4,220.00;4,310.00;3,942.69;151,433,000
Dec 5, 2024;4,310.00;4,340.00;4,250.00;4,260.00;3,896.95;183,249,300
Dec 4, 2024;4,240.00;4,370.00;4,220.00;4,350.00;3,979.28;345,762,200
Dec 3, 2024;4,240.00;4,250.00;4,210.00;4,240.00;3,878.66;384,146,700
Dec 2, 2024;4,270.00;4,280.00;4,160.00;4,170.00;3,814.62;337,188,900
Nov 29, 2024;4,280.00;4,300.00;4,250.00;4,250.00;3,887.81;412,519,800
Nov 28, 2024;4,350.00;4,390.00;4,330.00;4,330.00;3,960.99;277,081,800
Nov 26, 2024;4,450.00;4,470.00;4,380.00;4,400.00;4,025.02;266,677,500
Nov 25, 2024;4,420.00;4,530.00;4,420.00;4,470.00;4,089.06;401,446,400
Nov 22, 2024;4,250.00;4,420.00;4,250.00;4,400.00;4,025.02;280,188,100
Nov 21, 2024;4,280.00;4,320.00;4,250.00;4,250.00;3,887.81;376,788,400
Nov 20, 2024;4,400.00;4,440.00;4,330.00;4,330.00;3,960.99;298,734,600
Nov 19, 2024;4,350.00;4,410.00;4,350.00;4,360.00;3,988.43;294,838,700
Nov 18, 2024;4,440.00;4,460.00;4,350.00;4,350.00;3,979.28;253,272,300
Nov 15, 2024;4,450.00;4,510.00;4,450.00;4,470.00;4,089.06;106,365,600
Nov 14, 2024;4,570.00;4,590.00;4,500.00;4,500.00;4,116.50;159,871,800
Nov 13, 2024;4,470.00;4,610.00;4,460.00;4,580.00;4,189.68;209,627,200
Nov 12, 2024;4,430.00;4,520.00;4,430.00;4,500.00;4,116.50;252,380,100
Nov 11, 2024;4,470.00;4,540.00;4,370.00;4,460.00;4,079.91;507,192,300
Nov 8, 2024;4,600.00;4,640.00;4,520.00;4,520.00;4,134.80;198,589,900
Nov 7, 2024;4,610.00;4,640.00;4,550.00;4,550.00;4,162.24;296,218,600
Nov 6, 2024;4,710.00;4,730.00;4,600.00;4,600.00;4,207.98;249,059,500
Nov 5, 2024;4,690.00;4,740.00;4,680.00;4,710.00;4,308.60;199,499,300
Nov 4, 2024;4,710.00;4,770.00;4,650.00;4,720.00;4,317.75;209,831,500
Nov 1, 2024;4,770.00;4,820.00;4,700.00;4,700.00;4,299.46;235,656,400
Oct 31, 2024;4,710.00;4,870.00;4,710.00;4,800.00;4,390.93;307,110,400
Oct 30, 2024;4,630.00;4,750.00;4,630.00;4,710.00;4,308.60;296,314,500
Oct 29, 2024;4,730.00;4,780.00;4,700.00;4,700.00;4,299.46;203,658,600
Oct 28, 2024;4,770.00;4,800.00;4,710.00;4,760.00;4,354.34;191,211,000
Oct 25, 2024;4,820.00;4,860.00;4,770.00;4,770.00;4,363.49;195,647,800
Oct 24, 2024;4,820.00;4,900.00;4,810.00;4,820.00;4,409.23;218,162,100
Oct 23, 2024;4,830.00;4,890.00;4,810.00;4,860.00;4,445.82;222,147,300
Oct 22, 2024;4,960.00;4,970.00;4,900.00;4,900.00;4,482.41;199,707,500
Oct 21, 2024;4,980.00;5,025.00;4,970.00;4,990.00;4,564.74;110,708,200
Oct 18, 2024;5,025.00;5,050.00;4,960.00;4,970.00;4,546.45;157,113,000
Oct 17, 2024;4,960.00;5,050.00;4,940.00;4,980.00;4,555.59;188,127,700
Oct 16, 2024;4,950.00;4,970.00;4,920.00;4,950.00;4,528.15;118,014,300
Oct 15, 2024;4,930.00;4,990.00;4,920.00;4,920.00;4,500.71;142,372,200
Oct 14, 2024;4,900.00;4,930.00;4,870.00;4,900.00;4,482.41;125,414,400
Oct 11, 2024;4,910.00;4,940.00;4,890.00;4,900.00;4,482.41;104,875,300
Oct 10, 2024;4,920.00;4,970.00;4,860.00;4,860.00;4,445.82;226,564,700
Oct 9, 2024;5,000.00;5,075.00;4,930.00;4,930.00;4,509.85;309,336,600
Oct 8, 2024;4,800.00;5,050.00;4,760.00;5,000.00;4,573.89;527,474,400
Oct 7, 2024;4,860.00;4,930.00;4,810.00;4,820.00;4,409.23;308,452,200
Oct 4, 2024;4,870.00;4,920.00;4,850.00;4,860.00;4,445.82;289,960,700
Oct 3, 2024;4,900.00;4,960.00;4,860.00;4,920.00;4,500.71;354,814,800
Oct 2, 2024;5,000.00;5,075.00;4,900.00;4,940.00;4,519.00;307,487,600
Oct 1, 2024;4,970.00;5,075.00;4,970.00;5,075.00;4,642.50;197,069,300
Sep 30, 2024;5,050.00;5,050.00;4,950.00;4,950.00;4,528.15;539,169,900
Sep 27, 2024;5,050.00;5,150.00;5,000.00;5,100.00;4,665.37;304,694,300
Sep 26, 2024;5,150.00;5,200.00;5,025.00;5,050.00;4,619.63;855,266,800
Sep 25, 2024;5,400.00;5,425.00;5,200.00;5,325.00;4,871.19;607,065,900
Sep 24, 2024;5,550.00;5,575.00;5,525.00;5,525.00;5,054.15;195,415,700
Sep 23, 2024;5,350.00;5,500.00;5,350.00;5,500.00;5,031.28;245,292,000
Sep 20, 2024;5,400.00;5,450.00;5,375.00;5,375.00;4,916.93;260,437,400
Sep 19, 2024;5,425.00;5,500.00;5,400.00;5,400.00;4,939.80;332,941,100
Sep 18, 2024;5,350.00;5,375.00;5,325.00;5,350.00;4,894.06;186,877,300
Sep 17, 2024;5,350.00;5,350.00;5,250.00;5,300.00;4,848.32;201,331,600
Sep 13, 2024;5,200.00;5,300.00;5,175.00;5,300.00;4,848.32;259,722,600
Sep 12, 2024;5,175.00;5,225.00;5,150.00;5,175.00;4,733.98;138,542,100
Sep 11, 2024;5,225.00;5,250.00;5,125.00;5,175.00;4,733.98;165,284,900
Sep 10, 2024;5,200.00;5,250.00;5,125.00;5,250.00;4,802.58;202,326,400
Sep 9, 2024;5,275.00;5,300.00;5,150.00;5,175.00;4,733.98;201,448,700
Sep 6, 2024;5,200.00;5,250.00;5,150.00;5,225.00;4,779.71;170,520,700
Sep 5, 2024;5,125.00;5,150.00;5,075.00;5,150.00;4,711.11;166,436,800
Sep 4, 2024;5,100.00;5,175.00;5,100.00;5,100.00;4,665.37;141,890,400
Sep 3, 2024;5,225.00;5,250.00;5,150.00;5,175.00;4,733.98;166,033,900
Sep 2, 2024;5,150.00;5,225.00;5,150.00;5,175.00;4,733.98;136,717,200
Aug 30, 2024;5,175.00;5,175.00;5,125.00;5,150.00;4,711.11;275,298,000
Aug 29, 2024;5,125.00;5,175.00;5,100.00;5,125.00;4,688.24;160,041,900
Aug 28, 2024;5,100.00;5,175.00;5,025.00;5,150.00;4,711.11;277,561,700
Aug 27, 2024;5,250.00;5,275.00;5,100.00;5,175.00;4,733.98;271,088,700
Aug 26, 2024;5,200.00;5,325.00;5,200.00;5,300.00;4,848.32;361,169,800
Aug 23, 2024;5,150.00;5,200.00;5,125.00;5,150.00;4,711.11;217,759,300
Aug 22, 2024;5,125.00;5,150.00;5,025.00;5,050.00;4,619.63;474,043,100
Aug 21, 2024;4,990.00;5,100.00;4,980.00;5,100.00;4,665.37;390,307,000
Aug 20, 2024;4,860.00;4,950.00;4,840.00;4,950.00;4,528.15;310,085,500
Aug 19, 2024;4,820.00;4,820.00;4,750.00;4,820.00;4,409.23;196,203,200
Aug 16, 2024;4,850.00;4,870.00;4,830.00;4,830.00;4,418.38;149,701,700
Aug 15, 2024;4,850.00;4,870.00;4,790.00;4,830.00;4,418.38;214,394,900
Aug 14, 2024;4,770.00;4,840.00;4,760.00;4,820.00;4,409.23;262,716,500
Aug 13, 2024;4,700.00;4,750.00;4,690.00;4,720.00;4,317.75;109,533,400
Aug 12, 2024;4,720.00;4,720.00;4,650.00;4,680.00;4,281.16;83,552,800
Aug 9, 2024;4,700.00;4,730.00;4,670.00;4,670.00;4,272.01;98,730,900
Aug 8, 2024;4,600.00;4,690.00;4,590.00;4,660.00;4,262.86;131,343,400
Aug 7, 2024;4,640.00;4,640.00;4,590.00;4,620.00;4,226.27;125,937,500
Aug 6, 2024;4,550.00;4,650.00;4,520.00;4,600.00;4,207.98;238,051,800
Aug 5, 2024;4,660.00;4,670.00;4,510.00;4,530.00;4,143.94;329,430,900
Aug 2, 2024;4,730.00;4,750.00;4,690.00;4,710.00;4,308.60;113,328,400
Aug 1, 2024;4,710.00;4,750.00;4,690.00;4,750.00;4,345.19;169,636,700
Jul 31, 2024;4,650.00;4,710.00;4,650.00;4,670.00;4,272.01;168,490,300
Jul 30, 2024;4,720.00;4,740.00;4,670.00;4,670.00;4,272.01;201,835,700
Jul 29, 2024;4,800.00;4,800.00;4,760.00;4,780.00;4,372.64;126,109,900
Jul 26, 2024;4,760.00;4,810.00;4,740.00;4,760.00;4,354.34;192,267,300
Jul 25, 2024;4,760.00;4,760.00;4,660.00;4,700.00;4,299.46;274,397,700
Jul 24, 2024;4,770.00;4,800.00;4,760.00;4,780.00;4,372.64;116,037,600
Jul 23, 2024;4,900.00;4,910.00;4,780.00;4,790.00;4,381.79;170,919,500
Jul 22, 2024;4,920.00;4,940.00;4,880.00;4,910.00;4,491.56;140,128,300
Jul 19, 2024;4,870.00;4,910.00;4,850.00;4,900.00;4,482.41;135,104,800
Jul 18, 2024;4,760.00;4,890.00;4,750.00;4,890.00;4,473.26;296,614,900
Jul 17, 2024;4,750.00;4,810.00;4,720.00;4,760.00;4,354.34;263,325,400
Jul 16, 2024;4,820.00;4,840.00;4,730.00;4,730.00;4,326.90;189,271,400
Jul 15, 2024;4,920.00;4,930.00;4,810.00;4,820.00;4,409.23;188,713,000
Jul 12, 2024;4,970.00;4,980.00;4,880.00;4,900.00;4,482.41;301,125,400
Jul 11, 2024;4,910.00;4,920.00;4,840.00;4,840.00;4,427.52;170,461,300
Jul 10, 2024;4,870.00;4,920.00;4,840.00;4,850.00;4,436.67;167,619,700
Jul 9, 2024;4,780.00;4,930.00;4,750.00;4,870.00;4,454.97;291,320,400
Jul 8, 2024;4,800.00;4,830.00;4,740.00;4,750.00;4,345.19;222,042,100
Jul 5, 2024;4,850.00;4,870.00;4,790.00;4,800.00;4,390.93;218,278,000
Jul 4, 2024;4,680.00;4,830.00;4,660.00;4,790.00;4,381.79;422,261,500
Jul 3, 2024;4,630.00;4,640.00;4,560.00;4,600.00;4,207.98;176,310,400
Jul 2, 2024;4,610.00;4,630.00;4,570.00;4,570.00;4,180.53;234,403,100
Jul 1, 2024;4,630.00;4,670.00;4,560.00;4,630.00;4,235.42;261,421,200
Jun 28, 2024;4,590.00;4,640.00;4,580.00;4,600.00;4,207.98;581,319,300
Jun 27, 2024;4,410.00;4,500.00;4,380.00;4,460.00;4,079.91;299,430,600
Jun 26, 2024;4,390.00;4,430.00;4,350.00;4,370.00;3,997.58;150,303,400
Jun 25, 2024;4,320.00;4,400.00;4,280.00;4,380.00;4,006.73;383,572,500
Jun 24, 2024;4,440.00;4,510.00;4,400.00;4,400.00;4,025.02;303,830,800
Jun 21, 2024;4,280.00;4,490.00;4,260.00;4,440.00;4,061.61;532,713,300
Jun 20, 2024;4,130.00;4,270.00;4,130.00;4,270.00;3,906.10;387,133,400
Jun 19, 2024;4,100.00;4,240.00;4,090.00;4,100.00;3,750.59;410,338,400
Jun 14, 2024;4,300.00;4,320.00;4,170.00;4,180.00;3,823.77;358,893,200
Jun 13, 2024;4,400.00;4,420.00;4,300.00;4,310.00;3,942.69;238,349,600
Jun 12, 2024;4,340.00;4,360.00;4,310.00;4,350.00;3,979.28;187,332,500
Jun 11, 2024;4,380.00;4,440.00;4,340.00;4,340.00;3,970.14;197,854,400
Jun 10, 2024;4,350.00;4,430.00;4,320.00;4,400.00;4,025.02;181,387,000
Jun 7, 2024;4,490.00;4,500.00;4,350.00;4,350.00;3,979.28;375,439,600
Jun 6, 2024;4,450.00;4,500.00;4,390.00;4,500.00;4,116.50;281,534,200
Jun 5, 2024;4,500.00;4,500.00;4,400.00;4,400.00;4,025.02;240,788,500
Jun 4, 2024;4,560.00;4,590.00;4,450.00;4,450.00;4,070.76;332,902,200
Jun 3, 2024;4,430.00;4,560.00;4,400.00;4,530.00;4,143.94;345,770,100
May 31, 2024;4,430.00;4,470.00;4,330.00;4,340.00;3,970.14;655,144,100
May 30, 2024;4,400.00;4,480.00;4,310.00;4,380.00;4,006.73;502,927,800
May 29, 2024;4,480.00;4,500.00;4,400.00;4,410.00;4,034.17;465,008,500
May 28, 2024;4,580.00;4,630.00;4,520.00;4,530.00;4,143.94;258,070,200
May 27, 2024;4,700.00;4,720.00;4,550.00;4,550.00;4,162.24;363,719,300
May 22, 2024;4,650.00;4,770.00;4,650.00;4,720.00;4,317.75;215,066,000
May 21, 2024;4,810.00;4,870.00;4,680.00;4,680.00;4,281.16;271,568,800
May 20, 2024;4,990.00;5,050.00;4,820.00;4,820.00;4,409.23;335,150,700
May 17, 2024;4,840.00;4,960.00;4,820.00;4,920.00;4,500.71;208,991,800
May 16, 2024;4,930.00;4,960.00;4,840.00;4,840.00;4,427.52;371,295,000
May 15, 2024;4,780.00;4,870.00;4,760.00;4,820.00;4,409.23;298,990,300
May 14, 2024;4,720.00;4,810.00;4,700.00;4,730.00;4,326.90;341,458,900
May 13, 2024;4,650.00;4,700.00;4,630.00;4,680.00;4,281.16;320,067,100
May 8, 2024;4,650.00;4,740.00;4,570.00;4,680.00;4,281.16;572,275,800
May 7, 2024;4,770.00;4,780.00;4,670.00;4,670.00;4,272.01;304,013,600
May 6, 2024;4,800.00;4,840.00;4,730.00;4,790.00;4,381.79;262,707,400
May 3, 2024;4,760.00;4,830.00;4,710.00;4,750.00;4,345.19;321,697,200
May 2, 2024;4,910.00;4,920.00;4,700.00;4,760.00;4,354.34;636,922,100
Apr 30, 2024;4,850.00;5,050.00;4,820.00;4,940.00;4,519.00;565,609,200
Apr 29, 2024;4,700.00;4,890.00;4,680.00;4,770.00;4,363.49;700,644,800
Apr 26, 2024;5,050.00;5,100.00;4,830.00;4,830.00;4,418.38;782,589,900
Apr 25, 2024;5,125.00;5,200.00;5,050.00;5,150.00;4,711.11;479,170,900
Apr 24, 2024;5,250.00;5,350.00;5,150.00;5,225.00;4,779.71;471,241,400
Apr 23, 2024;5,350.00;5,400.00;5,225.00;5,300.00;4,848.32;281,403,100
Apr 22, 2024;5,200.00;5,325.00;5,150.00;5,300.00;4,848.32;342,282,800
Apr 19, 2024;5,350.00;5,375.00;5,250.00;5,275.00;4,825.45;258,211,500
Apr 18, 2024;5,300.00;5,500.00;5,300.00;5,475.00;5,008.41;247,410,700
Apr 17, 2024;5,475.00;5,500.00;5,300.00;5,300.00;4,848.32;244,002,000
Apr 16, 2024;5,375.00;5,575.00;5,350.00;5,350.00;4,894.06;600,717,500
Apr 5, 2024;5,625.00;5,700.00;5,625.00;5,650.00;5,168.49;178,817,800
Apr 4, 2024;5,650.00;5,750.00;5,650.00;5,700.00;5,214.23;131,936,100
Apr 3, 2024;5,575.00;5,675.00;5,525.00;5,625.00;5,145.63;333,518,700
Apr 2, 2024;5,850.00;5,950.00;5,625.00;5,675.00;5,191.36;412,180,900
Apr 1, 2024;6,000.00;6,025.00;5,825.00;5,925.00;5,420.06;217,207,800
Mar 28, 2024;6,100.00;6,200.00;6,025.00;6,050.00;5,534.41;288,926,900
Mar 27, 2024;6,300.00;6,325.00;6,225.00;6,250.00;5,717.36;73,308,900
Mar 26, 2024;6,300.00;6,300.00;6,200.00;6,300.00;5,763.10;120,748,400
Mar 25, 2024;6,250.00;6,250.00;6,125.00;6,250.00;5,717.36;115,729,600
Mar 22, 2024;6,050.00;6,125.00;6,050.00;6,125.00;5,603.01;46,529,200
Mar 21, 2024;6,175.00;6,200.00;6,100.00;6,100.00;5,580.14;136,020,000
Mar 20, 2024;6,000.00;6,100.00;6,000.00;6,100.00;5,580.14;120,885,400
Mar 19, 2024;6,000.00;6,050.00;5,975.00;6,000.00;5,488.67;114,338,600
Mar 18, 2024;6,000.00;6,100.00;5,975.00;6,000.00;5,488.67;110,564,700
Mar 15, 2024;6,000.00;6,075.00;5,950.00;5,975.00;5,465.80;305,995,800
Mar 14, 2024;6,175.00;6,200.00;6,050.00;6,150.00;5,625.88;271,254,000
Mar 13, 2024;6,350.00;6,450.00;6,350.00;6,400.00;5,639.61;195,173,100
Mar 8, 2024;6,275.00;6,400.00;6,250.00;6,350.00;5,595.55;163,060,000
Mar 7, 2024;6,200.00;6,275.00;6,200.00;6,225.00;5,485.40;117,724,700
Mar 6, 2024;6,100.00;6,200.00;6,100.00;6,200.00;5,463.37;84,108,800
Mar 5, 2024;6,100.00;6,175.00;6,075.00;6,125.00;5,397.28;115,084,600
Mar 4, 2024;6,125.00;6,125.00;6,050.00;6,050.00;5,331.19;70,354,900
Mar 1, 2024;6,175.00;6,175.00;6,075.00;6,125.00;5,397.28;76,286,400
Feb 29, 2024;6,150.00;6,200.00;6,125.00;6,125.00;5,397.28;173,774,600
Feb 28, 2024;6,100.00;6,225.00;6,100.00;6,225.00;5,485.40;97,236,700
Feb 27, 2024;6,125.00;6,200.00;6,125.00;6,125.00;5,397.28;99,187,500
Feb 26, 2024;6,100.00;6,200.00;6,075.00;6,175.00;5,441.34;98,920,800
Feb 23, 2024;6,125.00;6,175.00;6,050.00;6,125.00;5,397.28;148,643,000
Feb 22, 2024;6,250.00;6,300.00;6,225.00;6,250.00;5,507.43;100,256,000
Feb 21, 2024;6,325.00;6,375.00;6,225.00;6,300.00;5,551.49;168,423,000
Feb 20, 2024;6,175.00;6,300.00;6,175.00;6,300.00;5,551.49;160,872,600
Feb 19, 2024;6,125.00;6,175.00;6,075.00;6,100.00;5,375.25;111,382,900
Feb 16, 2024;6,150.00;6,200.00;6,125.00;6,150.00;5,419.31;130,814,400
Feb 15, 2024;6,275.00;6,275.00;6,100.00;6,125.00;5,397.28;308,685,100
Feb 13, 2024;6,050.00;6,050.00;5,950.00;6,000.00;5,287.13;145,852,200
Feb 12, 2024;5,875.00;6,025.00;5,850.00;6,025.00;5,309.16;171,514,600
Feb 7, 2024;5,850.00;5,900.00;5,825.00;5,850.00;5,154.95;147,005,300
Feb 6, 2024;5,900.00;5,900.00;5,800.00;5,825.00;5,132.92;126,704,300
Feb 5, 2024;5,800.00;5,825.00;5,750.00;5,775.00;5,088.86;113,760,000
Feb 2, 2024;5,800.00;5,850.00;5,750.00;5,850.00;5,154.95;177,209,700
Feb 1, 2024;5,775.00;5,800.00;5,725.00;5,750.00;5,066.83;156,633,900
Jan 31, 2024;5,725.00;5,775.00;5,675.00;5,700.00;5,022.77;245,117,200
Jan 30, 2024;5,525.00;5,650.00;5,475.00;5,625.00;4,956.68;150,513,700
Jan 29, 2024;5,400.00;5,575.00;5,400.00;5,575.00;4,912.62;145,629,600
Jan 26, 2024;5,450.00;5,475.00;5,400.00;5,425.00;4,780.45;185,244,400
Jan 25, 2024;5,575.00;5,650.00;5,525.00;5,525.00;4,868.57;120,478,800
Jan 24, 2024;5,675.00;5,700.00;5,575.00;5,650.00;4,978.71;104,225,000
Jan 23, 2024;5,700.00;5,750.00;5,650.00;5,700.00;5,022.77;122,999,700
Jan 22, 2024;5,775.00;5,800.00;5,700.00;5,775.00;5,088.86;97,545,600
Jan 19, 2024;5,750.00;5,800.00;5,700.00;5,800.00;5,110.89;75,370,700
Jan 18, 2024;5,800.00;5,800.00;5,700.00;5,750.00;5,066.83;87,259,100
Jan 17, 2024;5,825.00;5,825.00;5,750.00;5,775.00;5,088.86;107,941,600
Jan 16, 2024;5,825.00;5,875.00;5,775.00;5,825.00;5,132.92;97,074,300
Jan 15, 2024;5,850.00;5,900.00;5,775.00;5,825.00;5,132.92;115,126,700
Jan 12, 2024;5,800.00;5,850.00;5,775.00;5,850.00;5,154.95;109,715,700
Jan 11, 2024;5,750.00;5,800.00;5,700.00;5,750.00;5,066.83;116,804,400
Jan 10, 2024;5,625.00;5,700.00;5,625.00;5,700.00;5,022.77;82,626,400
Jan 9, 2024;5,625.00;5,700.00;5,625.00;5,700.00;5,022.77;105,666,200
Jan 8, 2024;5,750.00;5,800.00;5,625.00;5,625.00;4,956.68;152,015,000
Jan 5, 2024;5,725.00;5,850.00;5,700.00;5,750.00;5,066.83;134,929,600
Jan 4, 2024;5,600.00;5,700.00;5,575.00;5,700.00;5,022.77;92,683,500
Jan 3, 2024;5,625.00;5,650.00;5,600.00;5,600.00;4,934.65;83,659,700
Jan 2, 2024;5,650.00;5,675.00;5,625.00;5,675.00;5,000.74;91,143,100
