Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Block_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,KEMISKINAN (%),PENGANGGURAN (%),KETIMPANGAN,IPM
Kota Sabang,2023,29.93,27.15,17.15,53.16,33.56,26.8,25.5,71.32,69.36,17.15,9.07,0.48,72.78
Kota Sabang,2024,42.37,27.09,20.05,65.87,44.53,31.52,32.41,51.55,68.83,13.67,3.25,0.39,73.57
Kota Langsa,2014,42.73,22.28,37.78,97.86,46.73,63.11,73.39,100.82,70.35,14.34,3.6,0.31,73.28
Kota Langsa,2015,71.45,53.5,43.11,109.8,57.73,78.33,55.45,125.58,72.98,6.18,3.18,0.49,80.9
Kota Langsa,2016,65.63,31.36,26.94,104.82,72.17,79.87,77.34,119.25,82.49,19.32,8.17,0.41,75.29
Kota Langsa,2017,58.74,40.3,41.38,94.84,52.55,49.25,49.0,174.71,100.0,15.55,6.32,0.32,72.29
Kota Langsa,2018,58.06,46.22,34.61,129.46,80.92,51.73,68.03,160.93,100.0,12.55,9.0,0.43,64.07
Kota Langsa,2019,76.35,24.48,36.86,136.68,73.24,64.53,76.39,135.58,87.68,13.18,9.59,0.38,84.03
Kota Langsa,2020,71.69,34.13,33.0,120.99,65.61,100.9,64.22,158.15,65.45,17.67,3.16,0.46,67.05
Kota Langsa,2021,83.69,55.68,46.3,134.9,88.95,63.24,58.08,172.69,64.58,17.1,9.93,0.38,69.3
Kota Langsa,2022,85.2,90.92,59.05,154.36,111.26,111.5,70.1,241.8,78.45,12.58,8.79,0.36,82.39
Kota Langsa,2023,58.26,81.0,31.45,133.68,112.4,112.43,90.69,188.11,96.88,11.73,5.05,0.37,76.81
Kota Langsa,2024,122.67,88.3,37.36,170.79,72.41,106.1,98.7,258.51,76.49,10.26,3.82,0.33,79.04
Kota Lhokseumawe,2014,59.33,65.73,29.36,154.44,93.38,59.18,59.37,217.45,65.64,10.61,5.59,0.46,83.68
Kota Lhokseumawe,2015,103.56,51.75,32.0,164.02,92.04,84.12,112.59,131.26,63.77,12.39,3.08,0.39,61.41
Kota Lhokseumawe,2016,64.48,66.31,50.37,149.06,113.21,79.33,74.18,215.63,91.53,8.35,9.74,0.3,84.25
Kota Lhokseumawe,2017,110.51,60.06,58.23,121.19,90.8,115.08,89.01,190.44,62.29,15.44,6.18,0.43,74.61
Kota Lhokseumawe,2018,74.17,55.4,69.18,205.05,103.27,114.94,90.62,168.58,90.82,11.96,5.47,0.42,61.94
Kota Lhokseumawe,2019,151.35,91.3,58.53,175.99,138.21,128.38,88.59,291.22,92.07,17.34,9.65,0.45,75.34
Kota Lhokseumawe,2020,134.4,94.99,36.34,140.91,95.71,125.9,138.19,159.99,75.96,13.91,5.67,0.49,81.05
Kota Lhokseumawe,2021,119.93,74.7,51.99,167.92,152.27,148.04,163.3,326.09,98.54,13.33,8.38,0.49,81.24
Kota Lhokseumawe,2022,101.51,44.03,68.38,182.39,85.98,116.99,113.24,190.1,75.14,6.7,7.7,0.4,79.31
Kota Lhokseumawe,2023,148.09,84.1,62.4,230.0,112.21,90.67,82.25,280.66,76.0,14.3,7.93,0.34,63.41
Kota Lhokseumawe,2024,89.34,72.1,46.05,161.24,125.96,89.19,100.15,235.98,95.01,10.95,7.35,0.47,83.74
Kota Subulussalam,2014,19.31,9.81,9.44,38.57,19.32,17.2,21.14,32.1,95.49,6.14,3.9,0.33,63.8
Kota Subulussalam,2015,21.84,9.07,8.95,38.55,19.62,22.19,15.6,31.73,65.41,5.61,4.18,0.36,64.43
Kota Subulussalam,2016,15.24,13.06,8.2,32.15,20.44,22.98,14.13,48.93,91.5,14.42,3.57,0.47,83.02
Kota Subulussalam,2017,17.7,18.1,12.12,30.28,16.76,19.0,20.58,44.86,92.33,10.53,6.24,0.45,60.92
Kota Subulussalam,2018,25.29,20.59,11.16,37.38,16.34,21.37,22.62,36.68,82.74,9.04,5.64,0.3,68.05
Kota Subulussalam,2019,19.99,9.33,14.23,39.05,25.28,26.94,22.56,32.73,62.34,13.06,7.11,0.45,70.79
Kota Subulussalam,2020,19.37,13.02,12.42,38.79,20.46,29.97,24.23,37.34,64.75,6.53,4.07,0.35,64.02
Kota Subulussalam,2021,20.26,10.62,14.95,32.8,24.04,22.24,31.26,35.07,76.11,10.97,9.79,0.47,80.43
Kota Subulussalam,2022,19.45,19.42,16.03,42.48,26.11,21.27,29.4,39.44,99.1,9.86,5.98,0.4,66.06
Kota Subulussalam,2023,25.89,12.68,12.71,34.63,23.81,24.63,16.91,42.97,82.3,7.02,3.44,0.5,68.06
Kota Subulussalam,2024,27.37,25.78,19.2,56.63,32.11,30.8,29.43,84.2,71.61,17.46,9.76,0.32,78.27
Kota Binjai,2014,72.02,83.82,53.16,191.92,76.97,121.24,81.15,157.17,71.59,7.46,8.7,0.43,73.08
Kota Binjai,2015,132.04,62.77,63.89,171.56,96.85,102.88,91.54,245.85,97.87,12.54,4.63,0.48,69.6
Kota Binjai,2016,142.3,83.91,41.68,219.43,121.49,99.64,85.04,267.81,86.78,14.3,6.73,0.48,79.71
Kota Binjai,2017,96.32,54.96,64.03,149.32,115.28,129.42,137.81,197.1,93.08,17.32,3.77,0.47,63.19
Kota Binjai,2018,142.66,51.59,48.79,216.08,136.53,130.27,134.46,244.91,97.8,8.78,5.42,0.34,82.71
Kota Binjai,2019,120.62,82.83,83.84,185.42,136.58,129.67,138.76,175.33,95.99,18.08,9.52,0.41,77.42
Kota Binjai,2020,167.42,63.99,77.29,255.63,139.66,170.29,189.69,377.66,74.32,11.76,3.79,0.5,80.97
Kota Binjai,2021,154.67,110.31,61.15,208.66,112.65,84.93,107.52,290.35,72.31,5.07,5.33,0.38,73.43
Kota Binjai,2022,145.62,91.6,93.96,265.22,132.45,157.09,123.39,254.47,98.45,12.48,5.93,0.48,69.06
Kota Binjai,2023,164.63,51.75,83.89,219.68,197.8,115.86,142.68,218.94,64.84,19.95,6.52,0.42,61.68
Kota Binjai,2024,134.82,155.78,67.14,244.11,115.5,164.03,174.37,237.5,80.03,16.63,6.17,0.4,71.02
Kota Medan,2014,110.94,65.49,89.39,282.92,131.88,122.03,157.87,270.56,64.79,5.38,4.09,0.44,76.47
Kota Medan,2015,119.88,71.72,82.01,198.15,108.32,176.58,115.62,324.29,98.11,8.57,3.7,0.35,78.06
Kota Medan,2016,200.83,98.45,91.52,241.96,141.9,208.09,111.16,238.23,82.0,8.12,3.19,0.34,74.58
Kota Medan,2017,206.45,143.7,73.18,246.45,150.49,173.46,138.32,354.31,76.89,11.14,6.86,0.39,67.36
Kota Medan,2018,221.46,80.38,117.31,312.35,237.9,226.01,178.97,256.79,99.9,9.03,6.79,0.43,66.45
Kota Medan,2019,201.2,162.76,83.64,238.12,139.51,111.66,209.9,245.12,81.79,13.65,4.92,0.41,76.29
Kota Medan,2020,164.36,69.62,77.44,395.1,255.3,217.63,218.05,453.69,72.73,7.63,9.4,0.38,69.58
Kota Medan,2021,136.53,86.89,113.32,271.61,209.06,162.4,181.17,336.1,87.89,10.34,8.03,0.36,74.16
Kota Medan,2022,221.83,191.59,115.51,295.34,137.5,168.31,212.69,280.39,65.0,12.45,7.18,0.37,79.27
Kota Medan,2023,127.77,145.96,88.86,319.5,170.52,148.13,216.19,427.7,99.42,15.42,4.91,0.42,69.02
Kota Medan,2024,231.06,76.75,117.51,294.78,142.82,185.82,225.72,417.51,70.73,17.1,7.61,0.44,81.23
Kota Pematang Siantar,2014,48.83,59.49,38.87,81.55,68.2,76.98,47.21,125.39,99.43,18.73,3.24,0.44,67.43
Kota Pematang Siantar,2015,84.76,62.11,31.7,123.08,79.32,56.73,78.65,89.19,87.54,13.94,4.61,0.32,61.92
Kota Pematang Siantar,2016,60.2,55.03,23.93,104.02,69.17,80.45,59.25,146.09,70.78,18.29,7.31,0.35,60.61
Kota Pematang Siantar,2017,49.68,66.88,37.19,142.98,87.51,97.2,65.71,171.94,76.45,11.03,6.36,0.43,81.84
Kota Pematang Siantar,2018,93.06,48.3,37.4,144.08,65.2,58.44,71.29,135.49,87.43,9.44,4.64,0.31,60.45
Kota Pematang Siantar,2019,79.72,49.38,46.89,123.85,108.87,99.74,60.83,158.3,67.12,18.19,9.61,0.39,75.34
Kota Pematang Siantar,2020,93.96,34.53,45.84,125.04,75.87,71.38,58.07,111.04,74.7,8.31,4.31,0.46,68.75
Kota Pematang Siantar,2021,91.67,64.42,44.87,139.43,54.65,65.0,81.86,157.92,65.51,7.31,8.71,0.34,65.6
Kota Pematang Siantar,2022,90.31,61.23,30.94,163.13,71.75,64.03,107.08,221.74,88.78,17.93,8.67,0.43,73.77
Kota Pematang Siantar,2023,69.1,42.82,30.9,133.62,73.39,53.04,59.87,165.17,83.51,6.14,8.96,0.4,72.01
Kota Pematang Siantar,2024,113.49,52.73,52.18,159.58,78.81,116.85,111.79,206.3,88.85,17.76,9.07,0.44,80.93
Kota Sibolga,2014,93.72,72.53,33.54,166.8,108.38,59.59,105.71,130.72,87.64,10.03,8.2,0.33,80.45
Kota Sibolga,2015,93.38,31.37,39.86,162.11,122.73,101.09,78.04,202.45,97.75,13.1,8.46,0.32,79.03
Kota Sibolga,2016,125.58,53.86,52.22,187.58,70.53,123.94,107.98,136.63,74.18,9.51,7.96,0.31,74.55
Kota Sibolga,2017,105.32,35.46,60.8,193.21,127.93,113.69,73.43,228.5,99.17,5.37,3.15,0.36,72.22
Kota Sibolga,2018,123.28,69.27,46.64,219.5,104.45,106.29,85.22,262.89,72.7,15.41,4.55,0.32,77.01
Kota Sibolga,2019,95.57,108.9,43.2,182.56,145.88,106.56,122.98,209.8,95.35,9.11,9.89,0.38,82.35
Kota Sibolga,2020,84.48,36.99,57.51,164.94,129.83,102.59,137.06,165.12,83.26,18.03,8.44,0.45,81.12
Kota Sibolga,2021,137.43,53.35,43.63,246.84,136.62,151.83,125.2,188.85,68.89,6.88,7.8,0.39,65.01
Kota Sibolga,2022,86.01,87.45,51.28,226.11,105.91,117.62,81.76,173.36,100.0,10.89,6.36,0.42,67.29
Kota Sibolga,2023,167.5,115.25,46.81,223.37,99.5,111.85,178.9,205.76,77.25,12.48,7.33,0.44,73.99
Kota Sibolga,2024,92.61,71.05,37.98,164.12,72.14,75.3,97.53,158.17,96.42,13.51,7.83,0.46,65.0
Kota Tanjung Balai,2014,60.06,44.28,18.93,107.76,38.61,56.56,62.72,137.33,95.48,15.71,8.61,0.37,80.37
Kota Tanjung Balai,2015,71.26,39.4,34.17,92.23,61.81,57.41,65.12,81.36,85.93,5.91,4.73,0.33,81.79
Kota Tanjung Balai,2016,77.32,32.75,23.13,109.17,64.91,58.63,60.87,134.55,67.94,8.43,9.97,0.49,76.26
Kota Tanjung Balai,2017,67.58,23.01,20.73,90.8,58.83,75.14,69.47,140.18,84.87,11.38,5.42,0.37,84.69
Kota Tanjung Balai,2018,74.66,43.13,28.76,108.98,59.45,74.92,76.01,113.71,66.45,9.15,7.15,0.48,65.27
Kota Tanjung Balai,2019,77.06,58.24,26.72,128.26,90.16,55.71,58.45,186.21,61.68,7.71,8.98,0.4,66.18
Kota Tanjung Balai,2020,76.03,53.39,35.75,136.41,61.21,73.18,103.61,132.37,85.64,14.85,5.28,0.45,63.27
Kota Tanjung Balai,2021,82.55,41.8,30.48,123.21,86.3,75.92,103.85,162.51,88.42,8.73,7.32,0.44,64.18
Kota Tanjung Balai,2022,47.19,56.29,37.87,112.65,83.95,82.2,72.17,170.1,91.23,8.09,3.78,0.35,61.43
Kota Tanjung Balai,2023,104.25,29.03,30.2,132.01,104.1,70.85,81.14,112.14,78.85,7.23,9.91,0.49,60.12
Kota Tanjung Balai,2024,106.54,88.91,47.28,163.51,96.77,108.34,74.07,133.89,93.08,9.62,7.93,0.34,76.84
Kota Tebing Tinggi,2014,115.07,64.93,64.26,149.78,116.45,126.46,133.78,231.6,86.3,12.46,7.32,0.47,74.27
Kota Tebing Tinggi,2015,135.74,83.62,58.93,155.76,116.62,97.99,116.08,155.58,64.17,14.87,10.0,0.31,84.43
Kota Tebing Tinggi,2016,140.13,96.06,58.69,205.13,140.72,105.18,99.4,249.83,71.3,17.12,8.34,0.46,70.89
Kota Tebing Tinggi,2017,93.04,86.75,41.77,193.06,113.49,115.95,140.81,230.64,100.0,11.73,4.66,0.37,65.68
Kota Tebing Tinggi,2018,121.07,88.21,61.14,186.02,104.19,140.7,114.7,223.38,98.0,5.38,5.39,0.38,69.97
Kota Tebing Tinggi,2019,134.42,97.11,77.35,246.56,150.59,171.4,89.25,209.62,94.3,5.11,7.53,0.48,66.09
Kota Tebing Tinggi,2020,106.04,143.46,67.59,210.17,148.6,125.69,128.5,261.49,86.05,17.05,6.77,0.36,75.26
Kota Tebing Tinggi,2021,126.14,90.55,55.6,216.2,166.63,117.11,151.18,338.8,72.24,6.6,6.97,0.35,84.07
Kota Tebing Tinggi,2022,172.96,100.58,49.96,252.18,186.89,153.39,174.23,360.91,72.95,8.42,4.48,0.42,70.28
Kota Tebing Tinggi,2023,213.53,95.91,69.5,312.48,143.26,204.83,160.0,374.8,88.58,6.43,7.37,0.39,74.67
Kota Tebing Tinggi,2024,155.43,121.96,54.44,187.55,91.61,146.94,143.82,276.83,100.0,8.48,5.74,0.42,72.42
Kota Padang Sidempuan,2014,117.83,62.86,49.64,188.9,117.64,138.42,78.44,153.5,96.59,15.87,7.05,0.35,61.99
Kota Padang Sidempuan,2015,134.98,49.3,47.15,158.67,96.56,76.21,108.25,152.15,61.38,17.01,4.64,0.41,82.0
Kota Padang Sidempuan,2016,119.14,64.07,51.8,207.48,154.99,129.16,121.07,269.02,78.69,11.98,3.42,0.41,83.94
Kota Padang Sidempuan,2017,128.23,53.18,58.27,159.09,110.05,133.25,102.25,252.65,100.0,16.93,9.49,0.35,69.98
Kota Padang Sidempuan,2018,154.65,110.76,59.76,220.58,118.05,126.01,84.53,272.47,73.5,6.92,8.78,0.46,77.72
Kota Padang Sidempuan,2019,100.62,58.92,52.51,161.2,149.57,119.98,100.81,215.74,96.0,11.71,7.2,0.4,82.98
Kota Padang Sidempuan,2020,179.87,122.02,54.56,264.6,100.8,164.1,124.65,339.12,69.98,18.02,8.64,0.46,67.62
Kota Padang Sidempuan,2021,114.49,54.96,69.16,191.45,161.22,133.91,148.72,184.84,100.0,17.93,9.46,0.4,75.16
Kota Padang Sidempuan,2022,124.71,106.42,74.24,227.84,145.17,113.39,108.89,241.0,84.87,19.45,6.85,0.49,70.81
Kota Padang Sidempuan,2023,141.17,88.06,51.82,247.52,113.98,151.8,154.67,215.95,91.75,5.92,8.47,0.39,61.45
Kota Padang Sidempuan,2024,132.12,149.27,123.89,279.69,142.67,140.07,162.79,275.06,70.71,15.38,3.44,0.4,84.92
Kota Gunungsitoli,2014,81.72,70.31,47.76,151.77,70.74,118.02,90.7,149.47,95.09,10.52,5.9,0.47,78.34
Kota Gunungsitoli,2015,67.43,61.11,49.4,134.68,84.03,117.41,75.84,204.8,88.5,8.23,3.08,0.35,84.4
Kota Gunungsitoli,2016,139.28,70.22,39.44,181.1,103.37,131.09,78.05,211.56,75.13,7.25,5.27,0.45,71.9
Kota Gunungsitoli,2017,98.37,67.68,62.96,204.02,137.94,126.06,92.8,238.18,94.43,11.56,4.78,0.47,60.96
Kota Gunungsitoli,2018,118.53,92.23,67.29,234.8,132.74,130.89,86.51,246.29,97.67,7.25,8.16,0.4,77.01
Kota Gunungsitoli,2019,75.5,84.65,37.31,144.15,70.44,136.17,120.93,188.36,82.96,9.45,5.45,0.45,76.53
Kota Gunungsitoli,2020,87.16,44.42,61.63,205.22,93.91,75.79,80.34,292.17,95.47,9.43,8.38,0.42,69.55
Kota Gunungsitoli,2021,86.03,85.55,68.08,202.84,117.41,79.94,151.03,276.0,92.82,9.39,9.86,0.42,74.56
Kota Gunungsitoli,2022,172.18,109.9,53.6,222.21,183.23,116.38,130.4,272.18,98.82,11.59,7.29,0.49,66.02
Kota Gunungsitoli,2023,93.31,108.07,64.12,178.13,141.51,145.05,143.89,299.06,77.33,8.78,8.29,0.39,81.05
Kota Gunungsitoli,2024,181.93,118.41,60.29,260.65,203.26,198.42,106.84,238.59,85.35,6.98,8.08,0.46,65.34
Kab. Lima Puluh Kota,2014,34.86,20.97,16.0,50.46,26.1,31.48,33.98,75.37,78.62,14.54,8.33,0.33,71.54
Kab. Lima Puluh Kota,2015,25.6,25.18,20.45,43.1,28.77,36.96,24.72,63.85,72.02,16.0,7.31,0.34,68.88
Kab. Lima Puluh Kota,2016,35.46,11.53,20.09,46.43,39.83,27.43,44.67,62.42,61.66,9.9,4.04,0.36,81.92
Kab. Lima Puluh Kota,2017,34.11,23.65,21.47,71.96,39.72,34.69,35.22,84.55,94.15,5.05,7.34,0.37,79.85
Kab. Lima Puluh Kota,2018,35.22,21.75,18.21,45.79,35.04,34.63,34.61,71.12,67.14,15.15,8.63,0.35,80.63
Kab. Lima Puluh Kota,2019,27.07,14.04,16.77,70.0,42.92,44.96,38.14,72.4,92.45,7.21,5.3,0.39,62.22
Kab. Lima Puluh Kota,2020,38.56,29.82,24.11,70.77,39.63,34.29,39.48,86.17,86.42,6.78,5.87,0.47,69.6
Kab. Lima Puluh Kota,2021,44.08,19.0,18.91,64.82,28.49,28.44,50.86,70.69,65.7,12.77,5.09,0.49,66.48
Kab. Lima Puluh Kota,2022,51.47,36.88,16.3,77.03,40.08,40.76,31.15,59.4,86.29,15.92,6.48,0.39,78.24
Kab. Lima Puluh Kota,2023,37.15,35.59,18.2,88.19,53.11,62.72,34.26,67.77,96.11,9.23,4.83,0.35,82.66
Kab. Lima Puluh Kota,2024,34.54,34.2,19.68,75.39,28.93,40.39,28.07,57.71,84.59,18.6,3.97,0.41,70.28
Kota Bukit Tinggi,2014,44.85,51.08,43.09,112.38,85.01,46.19,62.28,110.63,91.81,15.96,9.87,0.35,76.35
Kota Bukit Tinggi,2015,70.9,43.66,44.66,118.15,61.12,50.46,52.14,111.0,77.81,8.76,8.95,0.41,73.08
Kota Bukit Tinggi,2016,86.04,56.56,24.69,125.25,71.39,50.03,67.45,137.35,62.57,7.49,9.62,0.47,76.73
Kota Bukit Tinggi,2017,70.84,57.76,38.77,103.48,75.9,90.65,73.22,105.57,95.29,16.79,4.41,0.35,64.12
Kota Bukit Tinggi,2018,89.39,51.87,30.65,146.44,95.64,95.18,63.03,147.69,77.57,19.77,8.4,0.31,61.63
Kota Bukit Tinggi,2019,103.85,56.5,40.73,114.52,90.12,99.11,75.08,193.16,68.01,19.47,4.43,0.4,67.18
Kota Bukit Tinggi,2020,97.32,69.99,55.46,147.81,118.14,94.57,71.43,209.24,85.74,16.9,5.22,0.47,82.65
Kota Bukit Tinggi,2021,109.38,35.33,33.14,120.45,104.44,91.22,63.53,158.85,88.98,14.23,3.58,0.48,80.09
Kota Bukit Tinggi,2022,121.1,56.5,61.07,164.24,100.63,71.78,115.85,175.76,100.0,7.43,3.09,0.41,73.18
Kota Bukit Tinggi,2023,130.14,39.89,59.6,150.59,127.93,125.23,106.08,235.48,87.28,9.72,6.3,0.46,71.48
Kota Bukit Tinggi,2024,92.78,82.48,41.46,134.98,106.31,113.39,68.34,153.98,80.27,7.13,5.44,0.39,78.72
Kota Padang Panjang,2014,31.14,30.88,16.94,68.59,37.62,25.93,38.59,61.02,74.24,15.29,3.49,0.33,81.39
Kota Padang Panjang,2015,43.72,18.54,19.55,64.11,36.0,31.06,28.86,49.17,60.85,9.56,7.57,0.49,81.78
Kota Padang Panjang,2016,46.61,30.36,16.42,75.76,43.54,40.67,28.95,75.42,62.29,11.91,9.05,0.41,69.51
Kota Padang Panjang,2017,31.6,26.25,14.82,77.96,54.57,36.42,52.87,73.53,96.09,18.66,8.28,0.46,60.45
Kota Padang Panjang,2018,52.12,24.29,27.61,68.87,56.53,33.58,51.43,93.01,80.0,6.45,4.69,0.3,71.72
Kota Padang Panjang,2019,43.8,21.85,17.81,75.18,28.73,52.15,50.76,91.42,82.09,13.9,9.25,0.34,61.97
Kota Padang Panjang,2020,49.84,14.85,21.98,83.19,51.53,42.25,29.54,101.72,69.69,13.98,3.8,0.32,82.74
Kota Padang Panjang,2021,59.85,45.12,25.71,82.36,46.8,43.09,46.94,116.07,79.93,14.03,9.25,0.39,75.18
Kota Padang Panjang,2022,53.61,40.51,20.84,84.62,37.19,46.63,50.11,111.3,87.22,19.26,7.2,0.45,72.66
Kota Padang Panjang,2023,37.54,26.44,23.87,86.66,36.65,39.96,44.75,138.21,80.16,9.97,6.37,0.34,75.27
Kota Padang Panjang,2024,38.03,32.03,15.84,63.25,38.41,32.66,34.91,84.36,87.26,17.04,7.0,0.4,67.34
Kota Padang,2014,73.13,75.15,37.46,157.76,101.4,126.08,100.47,229.02,86.35,19.89,3.92,0.35,69.86
Kota Padang,2015,99.22,98.98,60.26,183.38,92.07,128.25,137.48,256.13,63.41,5.02,7.45,0.31,66.44
Kota Padang,2016,112.97,83.59,39.25,167.92,102.58,96.44,78.97,199.91,62.16,16.27,3.5,0.32,68.87
Kota Padang,2017,138.01,97.49,56.32,214.52,83.55,135.32,158.25,266.75,99.25,18.11,8.07,0.32,82.56
Kota Padang,2018,113.09,47.34,37.29,178.56,95.48,109.55,116.28,153.9,77.87,6.85,6.91,0.37,78.23
Kota Padang,2019,160.86,103.94,62.32,232.98,111.16,113.86,155.93,252.14,80.97,16.98,8.76,0.47,82.92
Kota Padang,2020,113.13,92.83,58.81,223.12,146.3,144.83,117.91,200.19,100.0,11.46,4.0,0.48,68.65
Kota Padang,2021,83.11,92.87,66.34,189.71,86.86,114.25,106.28,271.87,100.0,14.09,5.55,0.34,84.7
Kota Padang,2022,156.49,59.37,68.85,187.94,139.55,182.05,128.31,192.62,69.76,5.46,5.72,0.33,60.58
Kota Padang,2023,155.84,84.33,101.51,226.11,208.99,140.4,201.77,342.55,65.93,17.4,9.89,0.36,84.03
Kota Padang,2024,133.62,81.05,74.33,207.76,149.85,148.69,169.93,353.69,69.88,11.61,5.12,0.35,64.87
Kota Payakumbuh,2014,14.17,16.35,8.69,26.18,17.63,12.71,16.11,36.27,62.85,12.33,5.81,0.5,82.01
Kota Payakumbuh,2015,18.51,13.22,7.08,28.25,12.26,17.4,18.2,28.96,94.01,19.46,9.37,0.44,73.33
Kota Payakumbuh,2016,14.43,16.47,7.18,35.66,16.28,23.96,24.81,29.33,93.32,11.94,9.87,0.4,81.59
Kota Payakumbuh,2017,17.88,10.22,7.82,35.91,18.03,19.65,19.41,41.02,66.58,17.98,9.87,0.38,80.69
Kota Payakumbuh,2018,22.17,20.52,8.46,29.72,26.13,20.28,26.03,53.35,88.06,5.94,9.18,0.39,72.76
Kota Payakumbuh,2019,27.67,7.46,10.61,38.61,24.75,24.31,16.3,37.33,92.81,10.38,8.63,0.36,65.27
Kota Payakumbuh,2020,16.48,24.47,13.7,46.2,21.15,16.57,28.39,59.92,73.12,16.11,4.0,0.45,79.22
Kota Payakumbuh,2021,27.9,21.26,12.75,33.0,23.5,17.03,22.24,44.46,94.81,5.99,5.44,0.32,80.21
Kota Payakumbuh,2022,19.31,26.21,13.71,41.42,19.4,27.03,32.32,61.49,100.0,5.75,3.51,0.38,67.38
Kota Payakumbuh,2023,18.65,18.98,14.04,35.02,27.75,19.24,21.5,35.7,80.87,14.61,9.85,0.42,68.95
Kota Payakumbuh,2024,19.9,24.61,13.32,43.4,28.1,28.79,18.99,59.63,81.22,8.63,8.0,0.46,80.1
Kota Sawahlunto,2014,59.54,66.45,33.12,130.08,66.91,59.07,84.9,109.86,94.34,16.23,5.22,0.3,72.78
Kota Sawahlunto,2015,68.01,64.32,28.31,151.3,53.49,66.44,92.77,140.28,90.69,6.53,5.52,0.35,81.07
Kota Sawahlunto,2016,100.44,78.14,40.25,163.37,77.33,110.27,61.16,189.43,65.61,12.41,5.71,0.43,77.6
Kota Sawahlunto,2017,64.49,67.04,46.05,163.92,97.33,107.81,94.09,143.48,82.3,6.58,8.47,0.43,61.2
Kota Sawahlunto,2018,118.91,60.79,43.53,149.35,73.46,83.18,83.24,127.9,75.75,16.51,5.92,0.46,81.26
Kota Sawahlunto,2019,100.47,58.94,56.99,134.33,101.71,97.47,78.53,137.81,76.6,14.77,8.17,0.36,76.12
Kota Sawahlunto,2020,112.67,45.98,62.15,150.43,89.95,69.58,73.1,199.38,97.74,9.01,8.85,0.3,69.48
Kota Sawahlunto,2021,68.07,41.69,47.2,166.46,93.77,102.23,106.52,134.88,78.16,11.96,9.74,0.4,76.94
Kota Sawahlunto,2022,121.05,86.86,51.9,203.07,76.8,69.39,120.79,246.62,100.0,6.8,4.86,0.3,67.33
Kota Sawahlunto,2023,126.34,70.59,57.08,166.57,108.18,137.03,164.31,307.46,89.5,5.35,9.29,0.46,79.51
Kota Sawahlunto,2024,107.42,61.69,40.94,171.21,95.79,114.03,134.27,226.49,75.7,5.87,9.7,0.49,79.63
