Kota,Tahun,DBH_PAJAK,DBH_SDA,DBH_Lainnya,DAU_Grant,DAU_Earmark,DAK_Fisik,DAK_Nonfisik,PAD,ICT,bm_pendidikan,bm_kesehatan,bm_perumahan,bm_lingkungan,bm_ekonomi,bm_infrastruktur,bm_pariwisata,bm_perlindungan_sosial,KEMISKINAN,PENGANGGURAN,KETIMPANGAN,IPM,PE
Kota Subulussalam,2018,25.29,20.59,11.16,37.38,16.34,21.37,22.62,36.68,82.74,186.68,195.02,58.3,207.85,230.52,52.27,260.27,109.8,9.04,5.64,0.3,68.05,4.78
Kota Subulussalam,2019,19.99,9.33,14.23,39.05,25.28,26.94,22.56,32.73,62.34,96.21,72.87,125.99,183.13,60.07,212.07,299.21,246.74,13.06,7.11,0.45,70.79,4.82
Kota Subulussalam,2020,19.37,13.02,12.42,38.79,20.46,29.97,24.23,37.34,64.75,292.4,269.37,213.29,78.85,151.36,177.77,157.59,64.1,6.53,4.07,0.35,64.02,7.24
Kota Subulussalam,2021,20.26,10.62,14.95,32.8,24.04,22.24,31.26,35.07,76.11,243.78,116.4,284.58,201.41,179.07,161.38,130.07,142.35,10.97,9.79,0.47,80.43,6.58
Kota Subulussalam,2022,19.45,19.42,16.03,42.48,26.11,21.27,29.4,39.44,99.1,284.87,82.38,267.8,79.3,195.16,291.74,276.66,176.45,9.86,5.98,0.4,66.06,5.08
Kota Subulussalam,2023,25.89,12.68,12.71,34.63,23.81,24.63,16.91,42.97,82.3,273.71,272.19,241.52,134.3,283.98,192.8,97.81,190.09,7.02,3.44,0.5,68.06,6.02
Kota Subulussalam,2024,27.37,25.78,19.2,56.63,32.11,30.8,29.43,84.2,71.61,199.47,288.91,247.11,85.71,218.06,265.86,203.86,232.15,17.46,9.76,0.32,78.27,7.08
Kota Binjai,2014,72.02,83.82,53.16,191.92,76.97,121.24,81.15,157.17,71.59,280.47,265.53,216.25,223.02,170.32,84.86,151.43,138.71,7.46,8.7,0.43,73.08,2.06
Kota Binjai,2015,132.04,62.77,63.89,171.56,96.85,102.88,91.54,245.85,97.87,72.12,252.38,115.07,101.56,252.42,192.3,60.27,203.17,12.54,4.63,0.48,69.6,4.42
Kota Binjai,2016,142.3,83.91,41.68,219.43,121.49,99.64,85.04,267.81,86.78,99.0,213.81,276.8,147.96,287.63,266.99,136.82,196.34,14.3,6.73,0.48,79.71,7.44
Kota Binjai,2017,96.32,54.96,64.03,149.32,115.28,129.42,137.81,197.1,93.08,61.31,187.71,217.68,273.92,55.52,195.78,116.31,186.9,17.32,3.77,0.47,63.19,6.44
Kota Binjai,2018,142.66,51.59,48.79,216.08,136.53,130.27,134.46,244.91,97.8,131.33,71.75,190.11,101.08,295.63,229.5,221.52,210.12,8.78,5.42,0.34,82.71,5.26
Kota Binjai,2019,120.62,82.83,83.84,185.42,136.58,129.67,138.76,175.33,95.99,147.17,152.11,77.75,176.95,71.53,143.01,287.2,114.86,18.08,9.52,0.41,77.42,5.18
Kota Binjai,2020,167.42,63.99,77.29,255.63,139.66,170.29,189.69,377.66,74.32,117.84,143.17,161.76,154.82,253.6,73.11,117.01,71.16,11.76,3.79,0.5,80.97,4.09
Kota Binjai,2021,154.67,110.31,61.15,208.66,112.65,84.93,107.52,290.35,72.31,257.18,114.94,165.09,54.53,120.08,164.48,252.87,79.82,5.07,5.33,0.38,73.43,5.12
Kota Binjai,2022,145.62,91.6,93.96,265.22,132.45,157.09,123.39,254.47,98.45,139.19,230.86,266.14,248.19,83.04,148.62,63.84,106.15,12.48,5.93,0.48,69.06,5.93
Kota Binjai,2023,164.63,51.75,83.89,219.68,197.8,115.86,142.68,218.94,64.84,120.23,173.97,186.66,67.26,159.96,266.77,184.53,175.05,19.95,6.52,0.42,61.68,4.51
Kota Binjai,2024,134.82,155.78,67.14,244.11,115.5,164.03,174.37,237.5,80.03,185.67,70.26,145.1,168.56,210.99,111.0,67.64,260.11,16.63,6.17,0.4,71.02,6.28
Kota Medan,2014,110.94,65.49,89.39,282.92,131.88,122.03,157.87,270.56,64.79,85.23,105.05,294.2,190.17,145.24,291.68,283.51,225.32,5.38,4.09,0.44,76.47,7.17
Kota Medan,2015,119.88,71.72,82.01,198.15,108.32,176.58,115.62,324.29,98.11,250.55,220.81,77.68,207.11,63.64,289.53,241.59,247.26,8.57,3.7,0.35,78.06,2.93
Kota Medan,2016,200.83,98.45,91.52,241.96,141.9,208.09,111.16,238.23,82.0,68.64,69.03,155.64,222.16,199.87,111.91,214.49,137.74,8.12,3.19,0.34,74.58,4.71
Kota Medan,2017,206.45,143.7,73.18,246.45,150.49,173.46,138.32,354.31,76.89,296.72,262.8,60.51,113.32,275.6,137.01,255.97,151.16,11.14,6.86,0.39,67.36,4.45
Kota Medan,2018,221.46,80.38,117.31,312.35,237.9,226.01,178.97,256.79,99.9,243.06,173.79,234.98,52.49,145.8,273.89,211.88,148.42,9.03,6.79,0.43,66.45,6.12
Kota Medan,2019,201.2,162.76,83.64,238.12,139.51,111.66,209.9,245.12,81.79,99.68,170.15,279.52,230.86,104.08,291.66,292.24,97.97,13.65,4.92,0.41,76.29,3.5
Kota Medan,2020,164.36,69.62,77.44,395.1,255.3,217.63,218.05,453.69,72.73,51.38,198.1,120.01,183.91,160.64,160.86,228.49,65.3,7.63,9.4,0.38,69.58,5.84
Kota Medan,2021,136.53,86.89,113.32,271.61,209.06,162.4,181.17,336.1,87.89,253.87,256.17,264.59,259.03,62.09,130.25,281.16,197.73,10.34,8.03,0.36,74.16,7.26
Kota Medan,2022,221.83,191.59,115.51,295.34,137.5,168.31,212.69,280.39,65.0,226.71,136.95,123.05,255.35,255.12,181.52,179.28,297.3,12.45,7.18,0.37,79.27,4.51
Kota Medan,2023,127.77,145.96,88.86,319.5,170.52,148.13,216.19,427.7,99.42,232.25,219.5,277.69,260.83,256.59,221.94,79.27,91.71,15.42,4.91,0.42,69.02,7.47
Kota Medan,2024,231.06,76.75,117.51,294.78,142.82,185.82,225.72,417.51,70.73,242.82,191.43,238.49,171.27,197.0,118.37,182.04,61.67,17.1,7.61,0.44,81.23,7.96
Kota Pematang Siantar,2014,48.83,59.49,38.87,81.55,68.2,76.98,47.21,125.39,99.43,68.51,116.76,251.23,133.41,138.28,234.12,81.72,244.88,18.73,3.24,0.44,67.43,2.64
Kota Pematang Siantar,2015,84.76,62.11,31.7,123.08,79.32,56.73,78.65,89.19,87.54,139.62,269.66,54.5,247.89,249.95,62.91,198.12,113.15,13.94,4.61,0.32,61.92,3.4
Kota Pematang Siantar,2016,60.2,55.03,23.93,104.02,69.17,80.45,59.25,146.09,70.78,78.97,249.36,290.7,162.82,188.67,62.32,170.62,257.41,18.29,7.31,0.35,60.61,7.7
Kota Pematang Siantar,2017,49.68,66.88,37.19,142.98,87.51,97.2,65.71,171.94,76.45,265.78,214.61,231.67,95.86,256.48,146.57,205.64,225.98,11.03,6.36,0.43,81.84,7.75
Kota Pematang Siantar,2018,93.06,48.3,37.4,144.08,65.2,58.44,71.29,135.49,87.43,205.82,262.65,126.19,263.74,207.86,138.37,52.51,286.42,9.44,4.64,0.31,60.45,2.59
Kota Pematang Siantar,2019,79.72,49.38,46.89,123.85,108.87,99.74,60.83,158.3,67.12,132.72,266.82,257.35,270.64,246.1,128.91,98.71,152.23,18.19,9.61,0.39,75.34,2.09
Kota Pematang Siantar,2020,93.96,34.53,45.84,125.04,75.87,71.38,58.07,111.04,74.7,65.89,227.09,120.38,166.58,199.64,172.75,172.83,215.49,8.31,4.31,0.46,68.75,2.97
Kota Pematang Siantar,2021,91.67,64.42,44.87,139.43,54.65,65.0,81.86,157.92,65.51,127.75,259.25,268.19,68.92,153.54,130.18,287.63,166.21,7.31,8.71,0.34,65.6,7.98
Kota Pematang Siantar,2022,90.31,61.23,30.94,163.13,71.75,64.03,107.08,221.74,88.78,131.3,224.37,78.15,146.96,289.49,98.06,145.9,207.65,17.93,8.67,0.43,73.77,3.08
Kota Pematang Siantar,2023,69.1,42.82,30.9,133.62,73.39,53.04,59.87,165.17,83.51,232.4,220.04,225.92,250.88,185.28,127.37,156.09,162.4,6.14,8.96,0.4,72.01,5.02
Kota Pematang Siantar,2024,113.49,52.73,52.18,159.58,78.81,116.85,111.79,206.3,88.85,209.39,204.65,185.17,275.44,201.27,293.73,228.67,97.16,17.76,9.07,0.44,80.93,7.09
Kota Sibolga,2014,93.72,72.53,33.54,166.8,108.38,59.59,105.71,130.72,87.64,271.8,238.18,74.13,100.87,105.12,152.78,200.95,176.97,10.03,8.2,0.33,80.45,2.12
Kota Sibolga,2015,93.38,31.37,39.86,162.11,122.73,101.09,78.04,202.45,97.75,168.05,89.65,110.47,66.74,206.41,161.18,124.73,182.15,13.1,8.46,0.32,79.03,5.63
Kota Sibolga,2016,125.58,53.86,52.22,187.58,70.53,123.94,107.98,136.63,74.18,79.9,270.22,53.1,269.34,192.9,194.14,152.7,252.65,9.51,7.96,0.31,74.55,3.66
Kota Sibolga,2017,105.32,35.46,60.8,193.21,127.93,113.69,73.43,228.5,99.17,228.31,267.96,167.19,147.35,96.21,295.84,104.42,233.88,5.37,3.15,0.36,72.22,7.17
Kota Sibolga,2018,123.28,69.27,46.64,219.5,104.45,106.29,85.22,262.89,72.7,240.2,57.31,125.32,185.44,64.9,110.4,291.51,215.95,15.41,4.55,0.32,77.01,3.7
Kota Sibolga,2019,95.57,108.9,43.2,182.56,145.88,106.56,122.98,209.8,95.35,190.32,256.45,199.59,292.02,201.09,220.32,82.66,78.35,9.11,9.89,0.38,82.35,6.12
Kota Sibolga,2020,84.48,36.99,57.51,164.94,129.83,102.59,137.06,165.12,83.26,242.74,82.22,124.31,66.64,240.92,229.0,142.96,230.15,18.03,8.44,0.45,81.12,6.05
Kota Sibolga,2021,137.43,53.35,43.63,246.84,136.62,151.83,125.2,188.85,68.89,173.45,133.78,124.98,212.08,180.85,201.83,56.46,175.08,6.88,7.8,0.39,65.01,3.33
Kota Sibolga,2022,86.01,87.45,51.28,226.11,105.91,117.62,81.76,173.36,100.0,180.68,235.88,235.8,68.53,106.69,72.14,105.44,273.52,10.89,6.36,0.42,67.29,2.21
Kota Sibolga,2023,167.5,115.25,46.81,223.37,99.5,111.85,178.9,205.76,77.25,156.89,90.19,62.04,143.87,216.63,219.22,245.12,279.97,12.48,7.33,0.44,73.99,4.46
Kota Sibolga,2024,92.61,71.05,37.98,164.12,72.14,75.3,97.53,158.17,96.42,56.35,254.49,275.72,250.95,70.03,66.02,100.29,63.79,13.51,7.83,0.46,65.0,3.74
Kota Tanjung Balai,2014,60.06,44.28,18.93,107.76,38.61,56.56,62.72,137.33,95.48,76.97,258.03,263.07,158.37,160.46,199.04,70.02,255.16,15.71,8.61,0.37,80.37,6.85
Kota Tanjung Balai,2015,71.26,39.4,34.17,92.23,61.81,57.41,65.12,81.36,85.93,57.86,176.87,216.95,299.3,90.84,234.9,168.61,59.42,5.91,4.73,0.33,81.79,6.8
Kota Tanjung Balai,2016,77.32,32.75,23.13,109.17,64.91,58.63,60.87,134.55,67.94,209.1,51.6,198.31,189.76,96.11,102.74,52.49,141.79,8.43,9.97,0.49,76.26,4.74
Kota Tanjung Balai,2017,67.58,23.01,20.73,90.8,58.83,75.14,69.47,140.18,84.87,128.59,121.76,273.08,130.29,100.57,260.41,71.19,185.57,11.38,5.42,0.37,84.69,5.64
Kota Tanjung Balai,2018,74.66,43.13,28.76,108.98,59.45,74.92,76.01,113.71,66.45,177.14,204.23,96.33,105.03,146.68,57.59,251.91,87.03,9.15,7.15,0.48,65.27,5.63
Kota Tanjung Balai,2019,77.06,58.24,26.72,128.26,90.16,55.71,58.45,186.21,61.68,276.89,295.3,69.74,137.63,62.79,260.95,242.87,236.58,7.71,8.98,0.4,66.18,6.96
Kota Tanjung Balai,2020,76.03,53.39,35.75,136.41,61.21,73.18,103.61,132.37,85.64,112.32,207.95,109.88,143.13,149.45,165.08,278.78,52.09,14.85,5.28,0.45,63.27,4.55
Kota Tanjung Balai,2021,82.55,41.8,30.48,123.21,86.3,75.92,103.85,162.51,88.42,152.6,114.95,248.64,67.18,177.93,104.4,263.63,92.15,8.73,7.32,0.44,64.18,3.65
Kota Tanjung Balai,2022,47.19,56.29,37.87,112.65,83.95,82.2,72.17,170.1,91.23,238.89,208.5,58.67,142.39,170.82,83.44,220.79,195.2,8.09,3.78,0.35,61.43,3.59
Kota Tanjung Balai,2023,104.25,29.03,30.2,132.01,104.1,70.85,81.14,112.14,78.85,107.2,185.0,195.7,166.06,145.7,288.33,63.08,228.6,7.23,9.91,0.49,60.12,5.22
Kota Tanjung Balai,2024,106.54,88.91,47.28,163.51,96.77,108.34,74.07,133.89,93.08,69.24,244.96,298.86,230.68,259.79,68.17,245.71,279.16,9.62,7.93,0.34,76.84,4.69
Kota Tebing Tinggi,2014,115.07,64.93,64.26,149.78,116.45,126.46,133.78,231.6,86.3,122.44,76.75,263.92,214.18,86.33,99.77,261.38,226.37,12.46,7.32,0.47,74.27,4.64
Kota Tebing Tinggi,2015,135.74,83.62,58.93,155.76,116.62,97.99,116.08,155.58,64.17,90.31,240.26,180.36,227.19,176.42,136.96,249.77,217.94,14.87,10.0,0.31,84.43,2.55
Kota Tebing Tinggi,2016,140.13,96.06,58.69,205.13,140.72,105.18,99.4,249.83,71.3,282.42,185.32,65.91,52.09,65.51,205.06,177.12,148.59,17.12,8.34,0.46,70.89,6.31
Kota Tebing Tinggi,2017,93.04,86.75,41.77,193.06,113.49,115.95,140.81,230.64,100.0,252.03,290.75,257.84,104.42,67.79,186.2,108.23,50.32,11.73,4.66,0.37,65.68,3.28
Kota Tebing Tinggi,2018,121.07,88.21,61.14,186.02,104.19,140.7,114.7,223.38,98.0,208.35,135.47,199.74,215.42,193.47,81.41,261.33,80.04,5.38,5.39,0.38,69.97,3.18
Kota Tebing Tinggi,2019,134.42,97.11,77.35,246.56,150.59,171.4,89.25,209.62,94.3,267.87,208.16,78.73,171.0,191.5,122.43,231.79,183.64,5.11,7.53,0.48,66.09,4.48
Kota Tebing Tinggi,2020,106.04,143.46,67.59,210.17,148.6,125.69,128.5,261.49,86.05,250.92,283.01,73.46,51.33,269.51,109.69,295.19,218.78,17.05,6.77,0.36,75.26,3.37
Kota Tebing Tinggi,2021,126.14,90.55,55.6,216.2,166.63,117.11,151.18,338.8,72.24,96.64,75.63,277.41,251.12,189.47,103.39,88.92,154.36,6.6,6.97,0.35,84.07,5.5
Kota Tebing Tinggi,2022,172.96,100.58,49.96,252.18,186.89,153.39,174.23,360.91,72.95,273.14,284.31,217.3,243.2,289.95,152.79,106.42,232.67,8.42,4.48,0.42,70.28,4.23
Kota Tebing Tinggi,2023,213.53,95.91,69.5,312.48,143.26,204.83,160.0,374.8,88.58,184.84,221.97,257.32,187.1,62.17,226.01,102.95,180.47,6.43,7.37,0.39,74.67,4.69
Kota Tebing Tinggi,2024,155.43,121.96,54.44,187.55,91.61,146.94,143.82,276.83,100.0,251.86,66.96,269.74,66.62,74.5,104.36,248.13,68.54,8.48,5.74,0.42,72.42,5.22
Kota Padang Sidempuan,2014,117.83,62.86,49.64,188.9,117.64,138.42,78.44,153.5,96.59,274.02,125.24,192.94,241.63,61.02,141.67,96.73,98.0,15.87,7.05,0.35,61.99,3.22
Kota Padang Sidempuan,2015,134.98,49.3,47.15,158.67,96.56,76.21,108.25,152.15,61.38,129.5,227.04,179.36,195.93,96.32,147.73,66.66,260.0,17.01,4.64,0.41,82.0,2.93
Kota Padang Sidempuan,2016,119.14,64.07,51.8,207.48,154.99,129.16,121.07,269.02,78.69,77.51,66.84,157.61,245.49,185.32,294.11,299.64,231.23,11.98,3.42,0.41,83.94,7.28
Kota Padang Sidempuan,2017,128.23,53.18,58.27,159.09,110.05,133.25,102.25,252.65,100.0,106.98,195.54,129.24,237.94,211.39,288.67,56.2,273.69,16.93,9.49,0.35,69.98,4.6
Kota Padang Sidempuan,2018,154.65,110.76,59.76,220.58,118.05,126.01,84.53,272.47,73.5,156.78,136.47,158.65,250.75,61.4,250.03,258.81,79.39,6.92,8.78,0.46,77.72,4.47
Kota Padang Sidempuan,2019,100.62,58.92,52.51,161.2,149.57,119.98,100.81,215.74,96.0,254.5,205.23,243.47,179.5,286.49,110.41,141.34,297.56,11.71,7.2,0.4,82.98,2.21
Kota Padang Sidempuan,2020,179.87,122.02,54.56,264.6,100.8,164.1,124.65,339.12,69.98,265.18,61.44,200.48,85.08,260.54,67.01,260.4,102.35,18.02,8.64,0.46,67.62,4.99
Kota Padang Sidempuan,2021,114.49,54.96,69.16,191.45,161.22,133.91,148.72,184.84,100.0,51.74,267.88,273.13,217.79,124.15,129.23,188.66,52.94,17.93,9.46,0.4,75.16,5.33
Kota Padang Sidempuan,2022,124.71,106.42,74.24,227.84,145.17,113.39,108.89,241.0,84.87,177.69,293.37,160.85,205.12,69.3,116.7,275.41,299.36,19.45,6.85,0.49,70.81,5.35
Kota Padang Sidempuan,2023,141.17,88.06,51.82,247.52,113.98,151.8,154.67,215.95,91.75,154.35,292.22,201.77,235.56,92.47,176.48,281.55,120.27,5.92,8.47,0.39,61.45,6.24
Kota Padang Sidempuan,2024,132.12,149.27,123.89,279.69,142.67,140.07,162.79,275.06,70.71,105.53,237.41,207.83,92.47,81.74,244.43,52.27,217.0,15.38,3.44,0.4,84.92,3.06
Kota Gunungsitoli,2014,81.72,70.31,47.76,151.77,70.74,118.02,90.7,149.47,95.09,79.97,82.52,197.92,98.74,80.82,264.58,68.85,94.17,10.52,5.9,0.47,78.34,3.51
Kota Gunungsitoli,2015,67.43,61.11,49.4,134.68,84.03,117.41,75.84,204.8,88.5,134.4,239.57,225.66,272.6,179.64,261.22,112.59,195.06,8.23,3.08,0.35,84.4,6.86
