Nama_Kota;Tahun;DBH_PAJAK;DBH_SDA;DA_Grant;DAK_Fisik;DAK_Nonfisik;DID_Reguler;bp_PU;bbj_PU;bm_PU;bl_PU;bl_KK;bbj_KK;bm_KK;bl_KK;bp_EK0;bbj_EKO;bm_EKO;bl_EKO;bp_PLH;bbj_PLH;bm_PLH;bl_PLH;bp_PFUM;bjj_PFUM;bm_PFUM;bl_PFUM;bp_KES;bjj_KES;bm_KES;bl_KES;bp_PAR;bjj_PAR;bm_PAR;bl_PAR;bp_PEND;bjj_PEND;bm_PEND;bl_PEND;bp_PSOS;bjj_PSOS;bm_PSOS;bl_PSOS
Kota Sabang;2016;14642349599;2808522738;353813480000;118109168803;14731964574;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sabang;2017;14401887735;3697418385;348745228000;53026967431;17978409084;50386704000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sabang;2018;8015283501;3612215687;350863359000;106152640917;21010290144;34250000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sabang;2019;6949263239;4382593343;370143343000;79659565448;21768415280;10392723000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sabang;2020;7232998081;4765177173;338311725000;49144187566;23010591000;53472920000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sabang;2021;10942551655;3505022907;332134428000;69200803764;23057555000;17145258000;63348907153;42121541489;7353946174;75448565575;13186762505;8549674238;1729255134;13186762505;21496942015;14079718191;25564659383;7341438725;15988971469;3900050833;2272328995;0;0;8923630242;31827055009;16927958666;43604661103;42873356510;68633150315;7376739128;2920626842;2637225671;2290126950;477930200;71873906225;39383644678;24393813980;4230771000;5782759126;1439658645;596606080;230432950
Kota Sabang;2022;9921897285;7037727053;332134428000;38844058774;28289790740;18323678000;69205012735;47947018317;5440129088;68839316378;9786378364;5918430011;1188459790;9786378364;;17268135407;44521410412;4647559294;9029357048;6908436435;588294027;155625553;7578154393;3347320814;15775573981;5871071828;38816387898;43670454733;8816263705;0;2844530144;2199372915;1046274749;0;70612431248;33142332926;36759443101;3825672685;3676820748;1234397203;294446244;249300000
Kota Sabang;2023;4548365000;11675779000;313697676000;19836507531;32901831860;35206620000;64349630937;50319208447;4065635257;66544285111;9367994636;17216213995;5800000;9367994636;23979425742;19966779746;10420267111;7121134700;8484010357;10479948327;451309404;2406576799;7617597752;5787438953;18860850383;12965778448;45526565173;39240583401;8600836770;0;2681060202;8242242803;3192089245;839965889;69776993787;22393869050;18426880139;7623796858;3524708124;1574706671;125633616;1602609000
Kota Sabang;2024;4144633000;6079076000;330506468000;48297861863;33800493853;6022870000;66037249474;52791068043;1792420130;70489725056;9039800764;6493241426;136700000;9039800764;24007597576;16230772045;15899914286;3863609000;8601468523;14210848398;4305969408;72800598;7866055637;7523850186;11556486868;2275153208;52460599177;45861735327;21009267847;0;2729698325;3146465592;4530974190;0;73150612062;21176624270;6418425739;4077356221;3640278295;1152917326;83804000;197108900
Kota Langsa;2014;17470720996;9846786810;419767005000;32355330000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2015;14765059150;4535005559;425446753000;60351491000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2016;77669842760;2653301108;451951928000;145033111052;42151224150;42641381000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2017;18927246469;3642517130;444012586000;162357964616;49364458692;51569612000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2018;14121982834;3540783274;444012586000;83368238542;48577963921;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2019;11166477697;4310280443;456700561000;102648613782;45857713700;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2020;9635479068;4701732911;414459534000;46339693777;47698983000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Langsa;2021;15874390541;3440870908;407519092000;126408281442;48824215320;15224797000;70223668648;45531163769;2791577899;117608179587;8369064726;12854862104;1990516200;8369064726;15274453343;8030156809;43140513388;17544502785;11867967484;20029997356;5412364490;0;0;1262948420;29230316837;25624032500;80176256326;92478841434;19841812200;0;0;0;0;0;120368361938;28202345251;81802704773;16058747750;4947542340;2918086799;158695399;543256644
Kota Langsa;2022;15393364408;6945674494;407519092000;45405017787;63487273565;20294005000;96388418781;170306236314;9748675607;111969459514;7218730997;12105521395;666515827;7218730997;;12976508787;39138060494;11752618632;7081879099;19399227503;6868293200;2850000000;6241762466;1627239194;3927559735;1151480100;75122818280;133347168515;14413940945;75000000;0;1017135550;8932614050;15000000;115717992757;28728189616;39622344732;13434551000;2777652688;1922739289;1460450057;813732998
Kota Langsa;2023;9614009000;11542004350;335415510000;52495159464;73467760353;16299407000;83844832277;56503428000;4499566460;65339363875;7131953274;12500050124;349319293;7131953274;18374091542;21787605710;22135510521;87686496242;7571214224;25137433621;3809477463;600000000;5728554166;2489160899;9021227282;16405907800;73815445679;161168513342;18145398840;325000000;0;82800431;0;100000000;114876802330;27987628772;3724758841;19602215877;5809873987;3960674230;13004925;0
Kota Langsa;2024;9929036000;5757403000;359542316000;65973034603;71175374587;17480018000;87376695256;57442991675;6569724742;139139938882;7605816003;13797247768;512238103;7605816003;20252539404;15493893046;17160932503;12975233391;7930364686;15855866016;154918000;6162000000;6053173649;1273827351;24000000;5525525300;93063468140;170581459743;37110222201;333570150;0;449697852;0;0;126888071983;31932176964;31041063302;31116192248;6003827973;6816471175;27916500;0
Kota Lhokseumawe;2014;52628587918;9725889985;469956588000;33752780000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2015;57897374450;4533975059;469107319000;79336830000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2016;28256002665;2653163840;467846597000;128882681000;48660703827;5000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2017;52543997350;3641997242;459628037000;88014088293;47305800890;7500000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2018;29125797441;3553182577;459628037000;48048859604;45899992296;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2019;39214012782;4311556338;469471445000;61264233147;42763640820;10018090000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2020;40316874263;4702295054;425306246000;35308708637;48592516000;18391468000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Lhokseumawe;2021;30575594750;3437717931;418626656000;38447374289;46780679000;16156027000;62196394768;48698356884;13036854255;128229658769;7433625532;8514297014;139203000;7433625532;14766883641;17060617907;66756865572;8528168150;8445140293;24837735418;5608858294;64450000;0;116645200;3797478960;23795988060;58866975309;28834355358;25141070418;12412293440;0;0;0;0;125219228383;44475868957;25660272660;9016179750;6659223798;3660951876;292579160;3444455013
Kota Lhokseumawe;2022;22890404586;6957198166;418626656000;33292658226;66539520548;34445081000;84108378059;67968605693;20575261749;126977669436;6396595491;8262149177;11418534600;6396595491;;17273040257;55591235965;14154735780;5943729213;28046033812;8200155100;5628398000;4570925875;1483196688;7170636998;22354224315;56900491582;18345640554;9957971108;1226076251;2800000;503397800;0;0;123889977479;41331337476;29216485736;15105207000;5496596652;2211852835;121470000;6701357050
Kota Lhokseumawe;2023;14971282030;11022426000;356529608000;22632985556;81096467226;5730566000;94976234449;52754555177;2769427384;136239829604;6518381862;9697511465;647561000;6518381862;17463512906;14453801146;23971340800;3193110672;6092394298;33119439817;2658523615;7900000000;4556062316;1408303611;487442500;13077406455;61410441834;29944878337;8246167336;180000000;2400000;238600000;0;0;120006976909;34521702572;21452971656;10562727340;5557939474;1673279899;103033470;2525554028
Kota Lhokseumawe;2024;9498666000;6028245000;389086444000;20389645000;79102715904;5485809000;79473300015;58144505679;7388586763;146784976826;6079757667;6911674933;896958100;6079757667;17480029203;12676735249;52697181058;3227272400;5887443731;36205474848;7123415025;6215000000;5185781030;1950525115;1171271155;18092515102;70065590342;26367686085;3455023650;500000000;1700000;181178900;0;0;151128750732;42996167919;29401648426;10376375330;5133823987;1648258841;145792500;776033885
Kota Subulussalam;2014;11858751835;9948537543;278513125000;27329480000;0;3000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2015;10932723950;4933592532;292296821000;146133970000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2016;11504157423;2831299173;346538214000;169971217000;19135517176;43478732000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2017;12734866855;3686966406;343605010000;115732439391;20637640864;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2018;9240906103;3555260974;345335126000;43908889107;29801259716;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2019;8314674633;4337093545;353735077000;61990042938;33835870760;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2020;9096141045;4706155223;318039401000;27848430422;33418461000;9678789000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Subulussalam;2021;14456562869;3488141865;313862655000;49426895457;36390937000;0;43206326239;53575901834;2930318283;107904595073;1442320250;6259946121;1167280425;1442320250;11315083954;26208871790;56644364303;332500000;4910773668;15612191348;3251636100;0;30000000;21111176050;2094380233;680000000;24894835755;82475833030;18112075146;0;0;0;0;0;81478097940;41025661295;23820212419;5111300000;6863496018;6230358911;2370931826;0
Kota Subulussalam;2022;12836950609;6998678083;314289551000;85926799421;50768419050;20970204000;50978156326;56340036965;5787548680;114037004534;1050246075;2888704354;552637498;1050246075;;55541841244;150896248555;1970000000;2455867948;10393442552;5493208310;0;2061141331;27208980218;10754227000;1060000000;26032105410;24821933864;25079083588;0;0;530140400;0;0;78581459067;16906305538;46547373235;6563750000;4705017992;5502436162;187118567;0
Kota Subulussalam;2023;6078780000;11031368850;245099600000;39180253160;59307539746;23878854000;50069058544;52909110032;2862856283;114799177071;2417630006;5014924809;670395554;2417630006;13758396107;46508795585;40829091997;1639000000;2449865647;10109266144;896002875;0;2355315399;19220946252;6184001810;0;28834242457;80319832827;11304953267;0;0;1597161140;0;0;85834196056;25877399668;17788024418;9753116046;3358560506;3018446089;59117875;0
Kota Subulussalam;2024;5373998000;5073456900;259155528000;52831692326;56339793356;0;50162367361;37904653780;883129858;127253267667;2636154108;4664348050;117455300;2636154108;13708453442;19440616877;16238545290;105000000;2599422499;11536951650;1822500000;0;2134336993;10652457946;0;0;31440162951;47488611897;19496110603;0;0;591250000;0;0;109548657262;13099471883;26387034375;4765200000;3795634576;366291800;0;0
Kota Binjai;2014;25043278082;3057657494;526069678000;31534230000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2015;19564050150;2154470613;541895577000;40555310000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2016;26138760509;1807075168;574469158000;70216933295;71273645000;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2017;26515791684;1200858436;564377582000;36568136530;65079039273;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2018;16365562634;3694879965;564377582000;50030437778;79905698561;17500000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2019;13649012921;3653384508;587336929000;49574247023;74764034720;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2020;17897352987;3230114759;535778557000;33112020396;76200130000;40871654000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Binjai;2021;26814091177;7690393259;532627031000;51946493166;82386573000;0;84656530489;90778286371;7882049999;2785365627;10629335270;16056603910;2483313000;10629335270;15303408706;29601963807;60067124757;0;13054450982;15449714604;388572353;0;4101964440;23871155989;459417450;0;109966090641;71478182311;14635829545;0;2403986050;384408235;4036000;0;192011960212;28506063029;48073912574;3364250000;17331360074;6452324216;556140200;0
Kota Binjai;2022;22588893737;12108496079;532627031000;38295442868;111786587955;9792420000;90676912884;108258636605;8213452094;3929597210;8552497336;12326722561;74060000;8552497336;;35616155593;22195197839;0;8374456421;12563415805;6979796055;0;8960957873;24838500972;7536605000;0;95094704145;52133711174;4264093226;0;2709084732;673972089;112493;0;181671166602;11686575717;36197700021;1320000000;6472970683;4477631914;145862000;0
Kota Binjai;2023;16559315000;3600159000;468683912000;32867999580;122903084289;0;90677157013;108429543447;5025307139;14067493868;8365069465;13135830080;223948000;8365069465;24199025414;31508380813;62396311995;0;7885961249;15536013938;161409000;0;8674666894;27933602633;8872994811;0;114522894345;66148566195;20374953730;500000000;2728645312;539649416;123899000;0;193869370237;33771641654;31706948601;20518874651;5827900149;2061790573;55220600;0
Kota Binjai;2024;14832001000;4282004000;504620707000;30333114358;119594608783;20872182000;108004590063;118369477334;3757271556;38672948521;8868193048;7007783836;67065360;8868193048;25466464470;30446881572;34751312330;0;8096711102;17716763334;126239200;0;9394002899;33943252772;8687542571;0;124482340672;75652174865;8858491075;0;2767846828;486142078;63647500;0;211709662103;42614819628;34379962225;5916346000;6087432786;1801099461;76090000;0
Kota Medan;2014;155026127185;1684742067;1393504580000;55582193000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2015;121894086150;1679015213;1232071365000;0;0;22289498000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2016;235795953622;1793567528;1611940995000;49220578000;310875743000;41291769000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2017;233213551713;1216124566;1583624375000;145137418264;194686486859;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2018;212962443115;3804802631;1583624375000;55188922801;301599881399;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2019;146275081004;3656533915;1690606936000;87877973409;285552446165;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2020;214661707872;3184635410;1493919764000;47066941112;285126916355;8538533000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Medan;2021;269580176346;7700087918;1526073171000;31060863404;257405501821;0;425166060945;493331701865;45171138774;91039428798;36320592019;58064847885;3777061578;36320592019;98794802586;222351980558;329316471206;8005000000;64890511553;503544945279;77862446584;0;12899137255;66133077157;18575074542;0;403401516744;410914749427;66393265315;0;6770432587;9003005988;1136229320;0;620663821349;31386088744;19225881040;230947996036;34983070602;28422514966;13147048780;52607300000
Kota Medan;2022;250804101778;10169189097;1526073171000;33107210141;506496222050;11500663000;472805503034;746374226867;105952693441;53751261868;36815329070;66259252245;15166909191;36815329070;;551422791517;882014422838;272627859032;46280233266;419911097555;281696816184;0;34018012573;99016662294;49107445306;0;409376749953;333616889061;68699494256;0;7377874793;18717515825;741291003;0;604169886690;120297633661;121931399622;138925951781;16597625827;17319986020;2072918640;57995202000
Kota Medan;2023;275112683000;5477850000;1395962151000;38650129380;539817205889;0;516246541326;786516526395;80611851724;68030825388;37681235220;84971857991;16080439380;37681235220;115235989085;762427090259;1087969425654;11455000000;18864430230;85314399873;154707449899;0;47488886222;114343415504;37162542166;0;449392012249;464429287290;57678573765;0;7387457495;21644652734;477365800;0;639868977269;231629862033;57961432824;214298779001;22433309035;19920051087;718427719;68648448700
Kota Medan;2024;206021513000;4171152000;1602382293000;30396472723;519948710927;0;519062322075;608758987203;32855996365;111738584470;37370023609;58936977133;1390010500;37370023609;114319068750;704865259210;1157141444454;9960000000;17838274995;78957632878;52908893125;0;47757526318;108170647131;7107854388;0;469456851546;448479810718;33589385304;0;7186076319;13690977539;280441336;0;691737085263;385889242573;202831466735;230274409292;22230989054;13508101104;309796500;68773531925
Kota Pematang Siantar;2014;26022759643;1684742067;519435661000;32662570000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2015;20373584300;1679015213;536792310000;50467450000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2016;50623372096;1793567528;593532667000;62708340713;66617429000;5000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2017;27900968790;1205317020;583106207000;51709487000;67474097437;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2018;21637332321;3694879965;583106207000;107965865226;80400679159;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2019;16996208297;3653384508;617344615000;78686435304;75718835440;22438314000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2020;25144781754;3203850359;565804258000;22247115086;81816103266;14919829000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Pematang Siantar;2021;29985964143;7693740921;556772164000;35063663756;70763210140;0;112264939948;64648766191;5107974040;63770989094;12326568565;7610515038;460330000;12326568565;16634577724;30449942661;31760586152;255000000;12497815302;8153647818;538842000;1162500000;4855228753;16842178506;18300627590;2215000000;105600545536;85770413611;15299834377;145000000;2934536648;890391707;159514000;0;160845824873;16545601339;31549513263;27772974920;14286754341;3795844000;292735000;20000000
Kota Pematang Siantar;2022;29432886566;12127703892;556772164000;14731433221;99672478336;10436540000;106135008142;62671811743;5933857646;11376384154;9867206330;10032423820;853303096;9867206330;;12737132752;11912930986;400000000;4685270490;17239155523;5136270050;441687500;9512955037;13828362834;4619246380;0;88823397418;46183660449;1567888659;105000000;3124363791;1022492998;69985800;0;134413922683;5512960430;4765332181;900000000;3851790550;1686947182;160780000;0
Kota Pematang Siantar;2023;25843606000;3505708000;460111151000;15752927984;116334625883;0;111538207781;98305031300;13345582533;27170018647;10642900627;9001805607;1144516508;10642900627;24461267579;37749013043;110114334599;1650273693;6249595125;27601311948;13080442240;0;10033376652;22697174778;17977853769;684310000;107662972530;78631442132;20269312597;105000000;3491759569;1955379906;420301856;30000000;149597471581;37446145188;33974692996;22933581571;3542129485;2842583022;199630000;0
Kota Pematang Siantar;2024;20068237000;3210863000;518975582000;17273019319;111479341037;6737985000;129557610655;96805382358;11460566257;39175824349;11511331348;10962533097;150640000;11511331348;25966229454;28082330310;58438137241;8848787968;6003213186;32501570730;8253183591;0;10484128126;23318252690;8466506360;878383000;113497895447;70875490423;6832371923;105000000;117000000;1933238337;1651570000;0;184412767848;36819238701;23763839253;23238373592;3269524051;2798403736;244118984;0
Kota Sibolga;2014;15227580297;1684742067;371812825000;33880280000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2015;12597296400;1679015213;380075078000;90670040000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2016;14245849796;1793567528;412805887000;73266505000;27308574000;5000000000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2017;15682493636;1205317020;405554215000;80902246000;20299577480;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2018;12723984558;3694879965;405554215000;60606641156;30328487222;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2019;9431330821;3653384508;425753360000;39300344217;29465189300;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2020;13320463851;3203850359;391676849000;30554243218;25773122000;42995348000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Sibolga;2021;16877349779;7689388959;384535437000;33815853302;29626746600;9173013000;67125707203;71789521178;7083695685;14161915700;6045389094;12119502869;489041000;6045389094;21941150120;28016949920;36057534930;801200000;4493261355;5181801193;4430168300;0;2866671402;12150247711;184766121;0;61814635536;69127138298;8644234404;0;2887668503;3095914462;79262000;285000000;74743554051;16837643862;29866314938;1930520000;4684361020;3366678726;269752000;5888108000
Kota Sibolga;2022;15745424652;12108496079;384535437000;31710074701;52139759434;18430524000;70908763591;90982561707;9292982154;23358877713;4933862994;11124323732;0;4933862994;;56553275353;82219728277;558880000;152980000;3784712530;2142691932;0;7838012048;17455375524;3189569027;0;60679362299;56879388706;3488039703;0;2683107904;3518253925;33655507137;0;72060040021;32652730983;7541079949;4517505552;2522979107;2394155845;155007673;6931757180
Kota Sibolga;2023;12699397000;3487100000;339374560000;14878158026;48502291838;9631189000;69192605716;109636330853;11495970615;11978326178;4183559972;12444175643;217875200;4183559972;17756896897;27316860426;31715511429;5587390159;15500000;4373313769;50883300;0;8041765856;18661516823;4035344447;0;59188107400;100636567387;24464831492;0;2554312239;4661972067;478293560;0;72962042736;70475743035;6816314534;3827083974;4303658170;3855566484;0;565200000
Kota Sibolga;2024;10372378000;3273879000;356476320000;39617484382;48660363562;6873527000;73511025033;79778246361;5689417343;32911140024;4685960066;11009840246;72200800;4685960066;17580802463;16580228343;30137132375;1199968000;0;1976259600;67900000;0;8636100628;13546202842;817904850;0;64536775970;81073607836;52431109379;0;2902725859;1764592241;0;0;78431540793;42387546279;4878112350;3535687550;2401493294;1625300650;0;703000000
Kota Tanjung Balai;2014;11922480769;1684742067;387259055000;25520490000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2015;10798173450;1679015213;398405838000;29526528000;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2016;12768595559;1793567528;418170504000;72299354553;43457096464;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2017;14482506019;1205317020;415172063000;52402039976;30664006626;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2018;11621200318;3694879965;418666416000;46995399491;43849206679;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2019;15368632862;3653384508;451056356000;48020613578;37426869360;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2020;11210159477;3203850359;410581497000;28241021950;36940763000;13415171000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Kota Tanjung Balai;2021;16101773797;7689388959;403249168000;35246705967;41199516000;0;82057646984;50124493222;3645089650;2843030000;11095212112;9517312909;195539995;11095212112;16529728491;12472532425;15093215653;4165331208;10229733116;21718080776;919076822;4369766973;3760525002;6639634105;1894589000;5407212353;64224604352;55322307255;11476657789;100000000;0;0;0;0;105413714687;29926981921;10607349062;7077650000;11845943310;4556352189;559063100;522200000
Kota Tanjung Balai;2022;15123933344;12108496079;403249168000;27008409848;55892856041;2014604000;83349172464;92020263129;9736521475;6169182706;8357780949;9395613469;551845150;8357780949;;19972241983;29478527760;2899234000;3890562068;13367086458;1306440000;7408203650;10390590832;20519629623;6627430800;7300961977;57711596125;58341285013;6675509141;508896300;0;95640500;13500000;0;99673489601;9794588956;13054386841;6263351655;5006717633;2794079344;144598000;727225000
Kota Tanjung Balai;2023;11890873000;3473722000;301210628000;30804146082;62788753620;0;86241844182;86162727370;7732871992;14145713066;7610566634;10493054525;993478328;7610566634;23286981313;26632952593;35141536180;723210786;3481271675;20568134384;681814588;0;10123927728;25212238025;7385099867;0;58244215075;67394017689;16550276198;100000000;0;237279847;0;0;98247312253;27041033308;11093320717;11110365158;4881124991;3209220357;83259000;536000000
