kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Barru,2022,1829.94,148.21,282.11,7.41,6.69,846.17,558.81,139.15,58.43,354.82,138.06,172.78,1.44,395.4,207.27,145.4,37.22,5329.31,71.53,8.4,5.11,0.37,5.32,186.68,47.56,43.43,14.73,0.6001,CUKUP INKLUSIF
Barru,2023,1843.85,158.11,289.19,8.67,6.98,897.62,586.68,149.72,63.59,385.96,133.49,185.31,1.56,395.14,212.33,157.12,40.93,5516.25,72.36,8.46,3.51,0.37,5.89,187.95,49.97,45.46,14.88,0.5848,CUKUP INKLUSIF
Barru,2024,1924.07,164.81,302.01,8.51,7.1,926.92,622.41,158.91,67.45,410.45,134.4,196.49,1.67,412.99,226.57,176.25,47.34,5788.38,73.06,8.31,4.93,0.31,6.42,189.21,52.27,49.95,14.64,0.658,CUKUP INKLUSIF
Barru,2025,2101.56,163.93,321.13,8.73,7.28,955.74,636.14,163.6,67.27,422.22,138.82,207.83,1.76,428.65,231.66,178.5,52.08,6086.9,75.41,8.0,5.16,0.35,5.07,190.5,56.39,44.81,14.13,0.658,CUKUP INKLUSIF
Bone,2010,5369.97,256.48,773.33,12.26,5.89,1080.19,1324.66,273.41,61.39,214.2,283.75,381.51,7.41,622.82,267.79,83.61,37.25,11055.9,59.69,14.08,7.61,0.4,6.64,717.68,15.36,28.5,101.1,0.4862,CUKUP INKLUSIF
Bone,2011,5605.31,278.21,839.19,13.15,6.5,1167.6,416.22,1428.79,297.08,66.57,231.53,318.71,8.04,657.74,295.46,93.41,40.29,11763.8,60.21,12.67,6.4,0.39,5.98,724.92,17.7,28.5,92.1,0.4809,CUKUP INKLUSIF
Bone,2019,10305.18,682.79,1571.69,26.45,9.04,2157.57,664.39,2992.5,550.42,130.02,502.21,602.64,14.98,1027.01,556.41,234.3,80.44,22108.04,65.67,10.06,7.01,0.37,3.01,753.69,47.81,29.82,76.25,0.5647,CUKUP INKLUSIF
Bone,2020,10207.02,695.39,1541.61,27.87,9.79,2201.28,698.26,2905.24,482.2,117.28,560.59,618.2,13.68,1024.89,613.88,263.9,72.67,22053.74,66.06,10.68,-0.25,0.4,3.2,801.77,45.68,25.73,81.33,0.4367,CUKUP INKLUSIF
Bone,2021,10965.84,703.06,1625.18,32.28,10.02,2321.68,705.14,2966.12,505.48,120.72,596.1,660.59,14.05,1069.51,623.54,277.57,76.98,23273.87,66.4,10.52,5.53,0.38,4.15,808.94,48.67,27.22,79.64,0.5429,CUKUP INKLUSIF
Bone,2022,11524.54,720.06,1752.2,36.95,10.42,2462.22,717.67,3098.14,547.62,131.32,679.44,676.66,15.28,1120.18,618.44,289.56,91.01,24491.73,67.01,10.58,5.23,0.38,2.27,816.01,53.48,27.84,80.34,0.545,CUKUP INKLUSIF
Bone,2023,11837.18,739.52,1833.03,39.16,10.07,2535.64,785.36,3243.78,610.43,141.71,707.14,679.21,18.53,1126.94,698.48,294.12,115.72,25416.03,67.81,10.53,3.77,0.39,2.88,823.08,57.02,29.15,80.12,0.5243,CUKUP INKLUSIF
Bone,2024,12569.58,742.05,1923.86,40.66,10.02,2587.96,830.12,3439.02,652.07,147.65,730.19,717.64,19.33,1204.07,758.7,321.1,131.36,26825.37,68.36,9.58,5.56,0.39,2.28,830.12,60.26,28.42,73.03,0.5575,CUKUP INKLUSIF
Bone,2025,13499.54,739.3,2082.15,41.09,10.16,2660.52,3628.19,694.51,157.36,762.4,782.08,868.28,20.29,1227.76,787.68,340.07,146.01,28447.38,71.63,9.13,6.03,0.39,2.75,837.1,64.76,34.97,69.73,0.6005,CUKUP INKLUSIF
Bulukumba,2010,2217.61,61.52,338.72,7.47,1.44,397.09,636.13,93.5,20.24,116.52,133.31,153.8,0.66,357.14,129.02,46.05,30.43,4740.63,62.73,9.02,5.71,0.55,7.45,394.56,11.98,46.38,35.6,0.3809,CUKUP INKLUSIF
Bulukumba,2011,2270.4,69.34,362.26,8.36,1.64,420.18,675.96,101.34,23.34,130.23,156.69,168.1,0.72,385.38,142.82,49.99,34.02,5000.76,63.36,8.12,5.49,0.52,5.46,399.0,13.3,45.87,32.4,0.4065,CUKUP INKLUSIF
Bulukumba,2012,2468.52,82.14,390.96,9.58,2.02,465.27,751.55,113.06,26.74,148.43,180.81,192.05,0.83,393.79,164.26,55.11,38.12,5483.24,63.82,7.83,9.65,0.49,2.71,401.9,15.53,46.07,31.5,0.4967,CUKUP INKLUSIF
Bulukumba,2013,2603.17,87.42,418.43,10.21,2.38,502.38,831.68,121.08,30.45,194.03,193.61,225.54,0.96,410.77,176.58,59.31,41.28,5909.29,64.27,9.04,7.77,0.46,4.16,404.9,17.75,29.82,36.7,0.495,CUKUP INKLUSIF
Bulukumba,2014,2871.18,104.22,435.15,10.97,2.82,519.94,909.73,133.58,33.5,223.67,207.88,249.87,1.2,419.99,181.08,64.69,44.23,6413.7,65.24,8.37,8.54,0.42,2.8,407.77,20.54,33.47,34.2,0.5466,CUKUP INKLUSIF
Bulukumba,2023,3411.73,202.23,689.67,22.11,3.92,996.53,1668.81,209.95,78.86,447.97,414.72,457.93,1.93,593.59,308.69,129.58,103.19,9741.4,71.21,7.22,4.11,0.38,1.31,450.33,41.9,30.48,30.65,0.574,CUKUP INKLUSIF
Bulukumba,2024,3562.91,204.05,714.57,23.49,4.13,1009.49,1769.39,221.14,85.09,473.45,446.24,482.06,2.04,607.77,325.99,139.93,118.07,10189.82,71.97,6.71,4.6,0.33,2.23,454.72,44.48,36.48,28.6,0.6264,CUKUP INKLUSIF
Bulukumba,2025,3680.22,212.51,754.96,22.75,4.2,1052.96,1862.16,226.41,94.03,495.93,480.53,517.55,2.19,610.17,344.04,148.88,132.58,10642.08,75.26,6.06,4.44,0.32,2.12,459.0,47.11,31.02,25.88,0.6674,INKLUSIF
Enrekang,2010,1145.53,68.4,165.19,3.25,2.4,355.83,237.37,24.86,21.54,94.61,57.77,64.15,0.59,245.68,56.27,48.7,12.98,2605.14,66.27,16.84,5.78,0.44,4.12,190.25,13.64,12.11,32.1,0.5013,CUKUP INKLUSIF
Enrekang,2011,1210.78,73.7,197.79,3.68,3.37,384.59,263.92,27.39,22.77,105.34,66.38,71.78,0.71,256.15,60.39,52.63,14.19,2815.55,67.03,15.18,8.08,0.44,6.66,192.82,15.81,13.14,29.2,0.5446,CUKUP INKLUSIF
Enrekang,2012,1243.93,89.56,224.15,4.23,3.6,417.13,307.17,29.05,23.51,123.59,76.04,79.98,0.82,260.6,65.64,56.92,15.29,3021.2,67.74,14.45,7.3,0.43,3.05,194.61,17.77,14.17,28.2,0.5479,CUKUP INKLUSIF
Enrekang,2013,1285.9,99.89,243.96,4.79,3.88,450.83,327.81,30.72,24.36,142.16,83.28,86.99,0.87,263.79,70.1,61.84,16.32,3197.5,68.39,15.11,5.84,0.43,1.61,196.39,20.98,15.2,29.7,0.5328,CUKUP INKLUSIF
Enrekang,2014,1386.57,108.03,257.81,5.4,3.89,469.35,345.53,32.02,26.86,143.86,89.22,94.14,0.91,269.42,71.52,66.91,17.69,3389.15,69.37,13.9,5.99,0.42,1.4,198.19,23.37,16.23,27.6,0.5532,CUKUP INKLUSIF
Enrekang,2015,1487.48,115.62,260.08,5.3,3.83,508.94,369.98,34.93,28.32,156.05,95.88,101.99,0.97,287.1,74.12,72.99,19.13,3622.71,70.03,13.82,6.91,0.4,1.33,199.87,26.2,17.27,27.6,0.589,CUKUP INKLUSIF
Enrekang,2016,1605.28,127.88,279.38,5.82,4.14,546.55,409.38,38.36,30.36,172.61,108.77,108.87,1.0,285.69,79.12,77.21,19.18,3899.59,70.79,13.41,7.63,0.39,1.33,201.84,29.22,18.3,26.98,0.6156,CUKUP INKLUSIF
Enrekang,2017,1698.23,138.32,300.02,6.16,4.45,590.71,442.73,41.66,33.28,188.28,112.57,116.92,1.08,302.83,84.55,83.53,21.09,4166.4,71.44,13.16,6.84,0.37,1.87,203.57,31.28,19.33,26.71,0.6254,CUKUP INKLUSIF
Enrekang,2018,1642.78,151.5,320.54,6.56,4.92,637.41,471.53,47.09,36.55,206.99,119.18,122.99,1.2,325.15,91.94,91.87,23.86,4302.05,72.15,12.49,3.26,0.39,1.66,205.25,32.81,18.57,25.53,0.5641,CUKUP INKLUSIF
Enrekang,2019,1726.32,152.12,374.0,6.83,5.08,665.2,487.24,48.57,39.69,215.77,122.83,129.66,1.32,337.42,98.2,99.08,26.23,4535.55,72.66,12.33,5.43,0.36,2.15,206.88,35.28,23.7,25.4,0.6246,CUKUP INKLUSIF
Enrekang,2020,1729.39,154.6,365.27,7.25,5.53,677.35,493.12,45.78,38.54,240.03,123.85,136.52,1.3,337.83,103.44,106.56,25.86,4592.23,72.76,12.17,1.25,0.37,2.44,225.17,33.54,24.13,25.25,0.5549,CUKUP INKLUSIF
Enrekang,2021,1906.33,157.59,379.82,7.73,5.88,698.85,519.06,49.46,38.91,267.15,129.37,141.91,1.33,331.13,108.58,113.18,28.1,4884.37,72.91,12.47,6.36,0.36,2.34,227.69,36.03,22.79,26.13,0.6415,CUKUP INKLUSIF
Enrekang,2022,1922.35,162.71,422.68,7.84,6.19,713.83,545.08,55.5,43.97,277.08,134.58,147.46,1.53,358.0,112.73,122.16,31.7,5065.36,73.39,12.39,3.71,0.35,0.58,231.12,39.05,23.38,26.15,0.6138,CUKUP INKLUSIF
Enrekang,2023,1943.82,169.87,433.04,8.41,6.5,734.9,562.61,59.26,46.79,289.97,141.19,151.96,1.62,348.5,119.22,130.69,35.06,5183.42,73.89,12.69,2.33,0.37,1.53,234.57,41.15,23.09,26.97,0.5837,CUKUP INKLUSIF
Enrekang,2024,2057.54,174.12,458.44,8.71,6.62,724.34,588.73,61.86,48.74,301.22,146.28,156.51,1.64,377.42,130.87,141.83,38.83,5423.7,74.61,11.25,4.64,0.34,1.51,238.1,44.01,27.57,24.06,0.6487,CUKUP INKLUSIF
Enrekang,2025,2183.69,178.68,502.83,9.09,6.91,705.88,622.28,64.9,53.24,318.04,156.21,163.27,1.73,383.66,135.31,148.4,42.99,5677.13,76.5,10.73,4.67,0.36,1.78,241.7,46.93,28.55,23.09,0.6552,CUKUP INKLUSIF
Gowa,2010,2594.77,165.56,485.84,11.93,11.22,628.17,749.13,98.09,170.52,620.99,137.09,380.27,8.28,501.08,341.35,126.84,101.35,7132.48,63.83,9.49,6.87,0.43,7.75,652.94,10.89,29.44,62.1,0.4984,CUKUP INKLUSIF
Gowa,2011,2721.49,183.46,516.61,12.42,12.82,690.7,815.85,108.57,182.39,685.46,166.55,424.81,9.08,522.04,367.52,136.52,108.24,7664.51,64.42,8.55,7.46,0.42,7.05,668.88,12.31,30.24,56.6,0.5212,CUKUP INKLUSIF
Gowa,2012,2826.59,212.39,547.47,14.64,13.09,757.79,924.97,119.61,195.83,783.87,196.9,493.64,9.92,529.89,397.58,147.76,117.18,8289.11,64.65,8.06,8.15,0.42,4.01,682.6,13.74,31.04,55.3,0.5342,CUKUP INKLUSIF
Gowa,2013,2917.01,233.06,589.16,15.93,13.81,972.18,1022.37,129.59,213.1,916.21,210.12,578.68,10.9,536.06,428.51,159.96,123.36,9070.0,65.45,8.73,9.42,0.41,2.63,696.1,15.39,31.83,61.0,0.5696,CUKUP INKLUSIF
Gowa,2014,3116.77,262.61,622.48,19.11,14.04,1018.64,1126.02,141.46,232.75,964.47,222.79,671.81,11.57,550.38,439.27,174.64,131.38,9720.17,66.12,8.0,7.17,0.4,2.3,709.39,16.98,32.63,57.0,0.5501,CUKUP INKLUSIF
Gowa,2015,3232.8,295.06,663.81,18.91,14.08,1093.06,1197.77,151.31,247.75,1064.3,240.24,776.6,12.18,570.42,468.94,191.46,141.52,10380.22,66.87,8.27,6.79,0.42,4.96,721.62,19.03,33.43,59.47,0.5379,CUKUP INKLUSIF
Gowa,2016,3401.02,335.04,717.79,21.59,14.69,1182.24,1324.67,156.26,267.27,1173.64,274.58,846.88,13.08,583.12,497.64,204.7,151.83,11166.02,67.7,8.4,7.57,0.41,4.96,732.59,21.04,34.22,61.52,0.5662,CUKUP INKLUSIF
Gowa,2017,3555.19,379.94,779.61,23.07,15.68,1281.85,1443.82,166.75,294.35,1289.48,279.05,909.8,14.15,610.19,540.49,219.05,168.91,11971.36,68.33,8.42,7.21,0.4,6.14,742.34,22.98,35.02,62.77,0.5749,CUKUP INKLUSIF
Gowa,2018,3708.33,427.99,811.12,24.32,17.27,1390.95,1585.64,181.62,329.24,1423.44,289.66,963.12,15.46,632.19,594.12,237.65,190.54,12822.68,68.87,7.83,7.14,0.38,4.8,751.98,25.07,37.2,59.34,0.5944,CUKUP INKLUSIF
Gowa,2019,3751.39,495.07,911.42,25.33,18.13,1530.24,1732.69,203.96,354.21,1581.12,296.63,1024.45,17.06,741.13,634.29,257.15,208.84,13783.11,69.66,7.53,7.46,0.35,4.35,761.49,27.5,37.67,57.99,0.6299,CUKUP INKLUSIF
Gowa,2020,3852.28,500.62,853.49,26.55,19.74,1536.08,1695.56,193.51,316.99,1752.99,308.69,1070.84,15.22,738.99,673.34,283.84,187.04,14025.76,70.14,7.38,1.76,0.35,6.44,765.84,28.2,39.05,57.68,0.5485,CUKUP INKLUSIF
Gowa,2021,4289.11,520.64,933.5,28.01,20.53,1597.53,1798.11,209.82,329.32,1886.67,331.15,1097.61,16.06,782.53,696.91,305.13,201.07,15043.7,70.29,7.54,7.26,0.36,4.3,775.24,30.36,38.67,58.66,0.6265,CUKUP INKLUSIF
Gowa,2022,4432.28,533.66,1048.83,28.69,21.88,1616.3,1912.63,245.59,381.64,1981.01,339.93,1130.54,18.31,786.02,710.85,329.54,217.16,15734.85,70.99,7.36,4.59,0.36,3.26,788.16,32.5,33.23,57.96,0.5936,CUKUP INKLUSIF
Gowa,2023,4627.81,569.87,1185.18,32.3,23.11,1617.99,2042.22,275.17,463.75,2092.04,332.59,1225.02,21.13,783.34,717.25,386.22,255.38,16650.36,71.57,7.42,5.82,0.38,3.43,801.11,35.52,35.85,59.1,0.604,CUKUP INKLUSIF
Gowa,2024,4653.29,603.85,1287.16,33.18,24.24,1658.73,2204.79,288.31,520.21,2254.29,346.26,1356.29,22.96,822.55,759.16,417.55,294.17,17547.0,72.26,6.85,5.39,0.33,3.91,814.04,37.77,39.8,55.13,0.6416,CUKUP INKLUSIF
Gowa,2025,4955.86,640.16,1412.5,32.99,25.41,1760.61,2319.12,305.14,570.94,2383.13,374.43,1529.49,24.21,846.12,814.23,458.91,328.8,18782.06,74.22,6.64,7.04,0.32,4.25,827.0,41.35,47.39,54.04,0.6955,INKLUSIF
Jeneponto,2010,1718.1,65.24,126.84,5.77,3.44,349.07,469.97,37.24,9.51,140.99,69.5,93.57,0.84,277.4,89.76,77.53,21.32,3556.09,58.31,19.09,6.59,0.4,6.33,342.7,10.34,22.48,65.4,0.4556,CUKUP INKLUSIF
Jeneponto,2011,1893.63,69.38,137.41,7.04,3.79,365.73,499.97,40.16,10.46,152.62,72.0,100.66,0.88,301.24,96.1,82.42,22.83,3856.3,58.95,17.16,8.44,0.39,5.06,346.31,11.83,22.63,59.6,0.498,CUKUP INKLUSIF
Jeneponto,2012,2047.77,76.86,143.0,7.96,4.05,385.08,548.1,43.43,11.5,176.53,81.38,104.81,0.89,306.65,98.56,86.96,23.95,4147.46,59.62,16.59,7.55,0.38,4.35,348.68,13.54,22.79,58.0,0.4992,CUKUP INKLUSIF
Jeneponto,2013,2150.36,84.31,156.46,8.55,4.37,416.92,593.26,46.66,12.29,207.54,90.54,111.2,0.94,319.15,101.64,93.54,25.15,4422.9,60.55,16.52,6.64,0.37,2.77,351.11,15.01,22.94,58.1,0.5029,CUKUP INKLUSIF
Jeneponto,2014,2349.83,96.19,171.6,10.03,4.57,439.07,646.06,51.52,13.57,215.86,99.64,115.2,0.94,326.24,104.59,101.93,26.8,4773.64,61.45,15.31,7.93,0.36,2.7,353.29,17.42,23.09,54.2,0.5397,CUKUP INKLUSIF
Jeneponto,2015,2453.88,111.56,183.04,10.0,4.6,477.65,711.27,55.72,15.44,238.91,104.47,123.72,1.0,341.89,112.17,111.42,29.21,5085.92,61.61,15.18,6.54,0.36,4.0,355.45,19.69,23.24,53.87,0.5203,CUKUP INKLUSIF
Luwu,2020,4762.2,231.8,426.7,12.6,1.7,839.6,1166.7,73.8,69.7,349.7,144.5,605.6,2.5,446.1,380.7,313.3,28.9,9855.9,70.51,12.65,1.3,0.4,4.94,365.61,43.91,25.96,46.04,0.509,CUKUP INKLUSIF
Luwu,2021,5014.2,240.6,459.4,13.3,1.7,854.2,1279.6,79.5,76.8,377.1,157.5,642.7,2.6,473.1,399.9,346.2,31.3,10449.8,70.85,12.53,6.03,0.38,4.8,369.36,48.3,25.65,46.26,0.5993,CUKUP INKLUSIF
Luwu,2022,5265.6,251.0,480.1,13.8,1.9,934.5,1391.4,92.7,90.4,399.0,158.3,673.5,2.9,471.7,416.2,367.7,34.0,11044.7,71.36,12.49,5.69,0.36,3.85,374.32,53.38,29.17,46.5,0.6143,CUKUP INKLUSIF
Luwu,2023,5386.4,275.4,501.0,15.7,1.9,1081.2,1531.7,100.8,101.2,433.7,153.6,711.0,3.2,489.2,450.8,394.0,37.3,11668.1,72.16,12.71,5.64,0.34,3.7,379.3,57.36,35.09,47.67,0.637,CUKUP INKLUSIF
Luwu,2024,5480.1,290.3,577.8,16.9,1.9,1116.0,1655.4,108.0,108.2,467.5,159.8,753.9,3.4,488.5,479.3,426.5,43.1,12176.5,72.79,11.7,4.36,0.32,4.14,384.28,59.73,36.96,44.24,0.6391,CUKUP INKLUSIF
Luwu,2025,5884.1,302.8,764.9,15.7,2.1,1175.6,1737.9,112.7,118.1,486.1,169.4,766.7,3.6,536.7,501.1,457.0,47.4,13081.7,74.66,10.97,7.43,0.33,3.71,389.3,63.45,33.51,41.76,0.6989,INKLUSIF
Luwu Timur,2010,1842.4,7828.18,241.08,4.17,0.67,735.95,325.79,56.36,12.36,103.49,61.07,137.13,3.89,216.72,165.81,90.23,8.85,11834.16,68.47,9.18,13.19,0.5,13.22,243.07,48.54,38.58,22.4,0.5942,CUKUP INKLUSIF
Luwu Timur,2011,1978.47,7029.09,263.6,4.57,0.82,761.45,341.43,60.46,13.17,122.07,73.61,154.47,4.35,228.52,170.96,110.0,9.56,11326.59,68.94,8.29,-4.29,0.48,7.16,250.22,55.28,38.99,20.4,0.3483,CUKUP INKLUSIF
Luwu Timur,2012,2067.84,7319.61,289.18,5.57,0.84,844.91,385.18,64.61,14.78,147.24,88.47,170.72,4.69,234.54,190.27,124.44,10.37,11963.26,69.34,7.72,5.62,0.47,8.12,256.7,59.47,39.4,19.9,0.5106,CUKUP INKLUSIF
Luwu Timur,2013,2157.28,7706.18,322.6,6.16,0.87,944.13,416.16,69.6,17.97,172.01,98.45,188.88,5.1,244.24,220.19,136.39,11.07,12717.28,69.53,8.38,6.3,0.46,6.28,263.01,63.35,39.82,22.2,0.5304,CUKUP INKLUSIF
Luwu Timur,2014,2353.14,8392.37,356.64,7.04,0.89,965.94,433.19,76.99,18.77,182.08,108.52,213.03,5.28,248.81,227.12,146.31,11.9,13748.02,69.75,7.67,8.1,0.44,8.1,269.4,70.63,40.23,20.8,0.5748,CUKUP INKLUSIF
Luwu Timur,2015,2550.58,8831.74,383.21,7.42,0.89,1046.27,470.4,82.8,19.91,201.52,114.51,228.78,5.59,270.97,243.59,159.92,12.97,14631.06,70.43,7.18,6.42,0.47,5.37,275.13,69.73,40.64,19.67,0.5347,CUKUP INKLUSIF
Luwu Timur,2016,2758.79,8634.51,413.31,8.47,0.94,1119.64,506.28,85.92,21.7,219.67,121.59,245.48,6.01,275.66,258.94,171.27,14.15,14862.31,70.95,7.52,1.58,0.43,5.37,280.35,61.72,41.05,21.08,0.4961,CUKUP INKLUSIF
Luwu Timur,2017,2955.13,8668.0,430.91,9.09,1.05,1188.71,549.46,91.41,22.9,241.3,126.06,261.71,6.4,294.12,272.68,184.29,15.49,15318.72,71.46,7.66,3.07,0.41,2.58,285.01,63.71,41.46,21.94,0.539,CUKUP INKLUSIF
Luwu Timur,2018,3150.53,8681.49,455.67,9.63,1.14,1279.37,606.13,100.79,25.59,266.31,134.02,274.47,7.07,330.23,296.29,201.79,17.26,15837.8,72.16,7.23,3.39,0.4,2.18,289.66,69.41,29.72,21.15,0.5589,CUKUP INKLUSIF
Luwu Timur,2019,3183.97,8447.71,521.87,10.03,1.21,1403.98,669.82,111.86,27.79,294.89,141.69,295.87,7.82,348.46,317.69,219.43,18.86,16022.95,72.8,6.98,1.17,0.39,3.81,294.29,71.34,42.33,20.83,0.5395,CUKUP INKLUSIF
Luwu Timur,2020,3175.95,8587.77,507.75,10.52,1.32,1448.2,662.57,97.39,24.23,328.12,147.33,313.48,7.15,345.81,337.64,245.15,16.54,16256.9,73.22,6.85,1.46,0.41,4.46,296.74,72.85,34.86,20.82,0.5339,CUKUP INKLUSIF
Luwu Timur,2021,3308.98,7916.77,541.15,11.17,1.47,1559.0,707.1,103.94,24.8,353.19,154.8,331.4,7.42,366.5,356.56,268.62,17.62,16030.5,73.34,6.94,-1.39,0.4,4.96,300.03,78.71,36.7,20.99,0.4992,CUKUP INKLUSIF
Luwu Timur,2022,3254.37,8048.03,581.75,11.79,1.61,1598.88,762.5,116.07,27.26,376.91,158.51,351.83,7.89,377.25,367.14,288.51,18.91,16349.21,73.92,6.81,1.99,0.39,4.48,304.3,93.36,38.61,20.89,0.5642,CUKUP INKLUSIF
Luwu Timur,2023,3293.12,9395.08,566.92,12.49,1.65,1697.12,793.34,119.47,28.39,364.59,164.95,354.14,8.34,406.18,396.82,306.21,19.63,17928.43,74.35,6.93,9.66,0.39,5.42,308.53,99.49,37.28,21.57,0.6855,INKLUSIF
Luwu Timur,2024,3400.12,9552.43,583.21,13.7,1.54,1842.74,826.95,122.73,29.81,369.84,180.48,369.01,8.94,441.0,426.03,324.52,21.48,18514.53,74.95,6.55,3.29,0.35,4.58,312.73,97.2,37.4,20.7,0.6245,CUKUP INKLUSIF
Luwu Timur,2025,3588.0,9845.0,618.0,13.0,2.0,1898.0,852.0,116.0,31.0,381.0,220.0,381.0,9.0,449.0,431.0,344.0,22.0,19202.0,77.28,5.79,3.7,0.37,3.7,316.9,99.87,36.88,18.55,0.6417,CUKUP INKLUSIF
Luwu Utara,2010,2289.98,40.77,186.54,4.89,0.19,437.39,415.39,74.15,35.66,118.75,53.07,110.03,0.78,241.94,209.03,35.82,1.2,4255.59,64.77,16.24,6.27,0.59,4.9,287.47,14.76,29.56,46.8,0.3826,CUKUP INKLUSIF
Luwu Utara,2011,2459.15,48.37,195.94,5.13,0.22,471.25,437.81,84.43,39.58,143.53,65.92,121.63,0.82,253.18,229.9,39.6,1.27,4597.71,65.57,14.64,8.04,0.56,4.47,291.41,16.95,30.07,42.6,0.4402,CUKUP INKLUSIF
Luwu Utara,2012,2550.01,65.06,209.65,6.24,0.24,515.92,489.81,92.02,44.54,166.16,77.57,136.69,0.86,260.75,254.12,40.04,1.31,4911.0,65.99,14.03,6.81,0.53,5.03,294.4,18.89,30.59,41.4,0.4481,CUKUP INKLUSIF
Luwu Utara,2013,2668.58,73.87,220.04,6.98,0.26,570.44,537.83,101.27,50.46,203.49,82.56,151.15,0.92,281.34,279.48,44.15,1.35,5274.16,66.4,15.52,7.39,0.5,4.84,297.31,21.32,31.11,46.2,0.4833,CUKUP INKLUSIF
Luwu Utara,2014,2931.46,86.87,238.24,8.19,0.27,598.46,582.35,107.25,56.07,216.53,85.6,164.55,1.01,290.29,321.81,49.11,1.47,5739.51,66.9,14.31,8.82,0.47,1.8,299.99,25.3,31.63,43.0,0.5325,CUKUP INKLUSIF
Luwu Utara,2015,3068.59,100.53,254.27,7.75,0.27,647.94,631.12,116.62,61.04,244.0,91.91,178.44,1.08,306.81,356.59,53.67,1.58,6122.22,67.44,13.87,6.67,0.37,2.6,302.41,28.73,32.14,41.89,0.5789,CUKUP INKLUSIF
